Date,HB,HBQF,HBName,NewPositive,TotalCases,CrudeRatePositive,NewDeaths,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20210917,S08000015,"",NHS Ayrshire and Arran,483,36053,9797.277099921193,3,761,206.7990978015707,163379,44397.67384983288
20210917,S08000016,"",NHS Borders,75,6955,6035.2308226310315,1,127,110.20479000347103,47476,41197.50086775425
20210917,S08000017,"",NHS Dumfries and Galloway,111,9891,6670.038438195427,0,156,105.19927169734977,64947,43797.28909569088
20210917,S08000019,"",NHS Forth Valley,302,27406,8958.258425129932,1,493,161.14797502696695,148372,48498.67616775079
20210917,S08000020,"",NHS Grampian,467,34444,5882.3328494577745,1,485,82.82811032362736,247243,42224.06284689608
20210917,S08000022,"",NHS Highland,236,17192,5358.100105965218,1,191,59.52751979056286,134123,41801.09705167363
20210917,S08000024,"",NHS Lothian,829,86446,9473.6380672664909,9,1218,133.4809148593409,444100,48669.02650987956
20210917,S08000025,"",NHS Orkney,2,282,1258.9285714285713,0,8,35.714285714285715,6827,30477.678571428572
20210917,S08000026,"",NHS Shetland,4,621,2715.3476169654573,0,11,48.09794490599038,9559,41797.11412330564
20210917,S08000028,"",NHS Western Isles,10,668,2520.7547169811323,0,13,49.056603773584904,9218,34784.90566037736
20210917,S08000029,"",NHS Fife,410,30774,8225.483120840348,0,414,110.6567235987491,166707,44558.5758960789
20210917,S08000030,"",NHS Tayside,360,36278,8709.15856439803,4,656,157.48409554675308,186157,44690.193254111146
20210917,S08000031,"",NHS Greater Glasgow and Clyde,1467,151352,12769.73439978401,8,2389,201.56255273193614,571026,48178.09051331376
20210917,S08000032,"",NHS Lanarkshire,773,84733,12800.320261042963,2,1427,215.57193788144298,308389,46587.25602755453
20210917,S92000003,d,Scotland,5529,523095,9569.978046103184,30,8349,152.7442371020856,2507523,45874.91767288694
