Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
20201208,S92000003,Female,"",12 - 15,"",114486,"",Dose 1,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",12 - 15,"",114486,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",16 - 17,"",53579,"",Dose 1,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",16 - 17,"",53579,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",16 years and over,d,2354012,"",Dose 1,"",1517,"",0.1,"",1517,"",0.1,""
20201208,S92000003,Female,"",16 years and over,d,2354012,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",18 - 29,"",413185,"",Dose 1,"",167,"",0.0404177305565304,"",167,"",0.0404177305565304,""
20201208,S92000003,Female,"",18 - 29,"",413185,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",30 - 39,"",370019,"",Dose 1,"",295,"",0.0797256357105987,"",295,"",0.0797256357105987,""
20201208,S92000003,Female,"",30 - 39,"",370019,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",40 - 49,"",345328,"",Dose 1,"",389,"",0.112646527359496,"",389,"",0.112646527359496,""
20201208,S92000003,Female,"",40 - 49,"",345328,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",50 - 54,"",203758,"",Dose 1,"",231,"",0.113369781799978,"",231,"",0.113369781799978,""
20201208,S92000003,Female,"",50 - 54,"",203758,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",55 - 59,"",205996,"",Dose 1,"",271,"",0.131555952542768,"",271,"",0.131555952542768,""
20201208,S92000003,Female,"",55 - 59,"",205996,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",60 - 64,"",181868,"",Dose 1,"",130,"",0.0714804143664636,"",130,"",0.0714804143664636,""
20201208,S92000003,Female,"",60 - 64,"",181868,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",65 - 69,"",155904,"",Dose 1,"",27,"",0.0173183497536946,"",27,"",0.0173183497536946,""
20201208,S92000003,Female,"",65 - 69,"",155904,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",70 - 74,"",149920,"",Dose 1,"",5,"",0.00333511205976521,"",5,"",0.00333511205976521,""
20201208,S92000003,Female,"",70 - 74,"",149920,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",75 - 79,"",109004,"",Dose 1,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",75 - 79,"",109004,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",80 years and over,d,165451,"",Dose 1,"",2,"",0.00120881711201504,"",2,"",0.00120881711201504,""
20201208,S92000003,Female,"",80 years and over,d,165451,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",12 - 15,"",119649,"",Dose 1,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",12 - 15,"",119649,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",16 - 17,"",56560,"",Dose 1,"",1,"",0.00176803394625177,"",1,"",0.00176803394625177,""
20201208,S92000003,Male,"",16 - 17,"",56560,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",16 years and over,d,2195205,"",Dose 1,"",410,"",0,"",410,"",0,""
20201208,S92000003,Male,"",16 years and over,d,2195205,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",18 - 29,"",420762,"",Dose 1,"",37,"",0.00879356976152789,"",37,"",0.00879356976152789,""
20201208,S92000003,Male,"",18 - 29,"",420762,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",30 - 39,"",359716,"",Dose 1,"",86,"",0.0239077494467858,"",86,"",0.0239077494467858,""
20201208,S92000003,Male,"",30 - 39,"",359716,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",40 - 49,"",328962,"",Dose 1,"",115,"",0.0349584450483642,"",115,"",0.0349584450483642,""
20201208,S92000003,Male,"",40 - 49,"",328962,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",50 - 54,"",189355,"",Dose 1,"",65,"",0.0343270576430514,"",65,"",0.0343270576430514,""
20201208,S92000003,Male,"",50 - 54,"",189355,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",55 - 59,"",193348,"",Dose 1,"",51,"",0.0263773093075698,"",51,"",0.0263773093075698,""
20201208,S92000003,Male,"",55 - 59,"",193348,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",60 - 64,"",170701,"",Dose 1,"",39,"",0.0228469663329447,"",39,"",0.0228469663329447,""
20201208,S92000003,Male,"",60 - 64,"",170701,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",65 - 69,"",144529,"",Dose 1,"",11,"",0.00761092929446686,"",11,"",0.00761092929446686,""
20201208,S92000003,Male,"",65 - 69,"",144529,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",70 - 74,"",135910,"",Dose 1,"",3,"",0.00220734309469502,"",3,"",0.00220734309469502,""
20201208,S92000003,Male,"",70 - 74,"",135910,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",75 - 79,"",89206,"",Dose 1,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",75 - 79,"",89206,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",80 years and over,d,106156,"",Dose 1,"",2,"",0.00188401974452692,"",2,"",0.00188401974452692,""
20201208,S92000003,Male,"",80 years and over,d,106156,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,12 - 15,"",234135,"",Dose 1,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,12 - 15,"",234135,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,16 - 17,"",110139,"",Dose 1,"",1,"",0.000907943598543658,"",1,"",0.000907943598543658,""
20201208,S92000003,Total,d,16 - 17,"",110139,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,16 years and over,d,4549217,"",Dose 1,"",1927,"",0,"",1927,"",0,""
20201208,S92000003,Total,d,16 years and over,d,4549217,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,18 - 29,"",833947,"",Dose 1,"",204,"",0.0244619861933672,"",204,"",0.0244619861933672,""
20201208,S92000003,Total,d,18 - 29,"",833947,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,18 years and over,d,4439078,"",Dose 1,"",1926,"",0.0433873881017635,"",1926,"",0.0433873881017635,""
