Date,HB,HBQF,HBName,NewPositive,TotalCases,CrudeRatePositive,NewDeaths,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20210827,S08000015,"",NHS Ayrshire and Arran,374,28055,7623.8484741433185,0,741,201.36416750455174,151357,41130.73724829479
20210827,S08000016,"",NHS Borders,92,5502,4774.383894481083,0,118,102.3950017355085,43164,37455.74453314821
20210827,S08000017,"",NHS Dumfries and Galloway,157,7641,5152.741250252882,0,147,99.1300829455796,60341,40691.21316339605
20210827,S08000019,"",NHS Forth Valley,316,21102,6897.656326610663,1,480,156.89863694309156,137161,44834.11237864871
20210827,S08000020,"",NHS Grampian,341,26343,4498.847237639826,0,479,81.80343267013919,224099,38271.53957817437
20210827,S08000022,"",NHS Highland,345,11972,3731.2223399613536,0,183,57.034220532319395,117865,36734.089634108335
20210827,S08000024,"",NHS Lothian,1217,68500,7506.931582811867,0,1177,128.9877149338623,396778,43482.99707394054
20210827,S08000025,"",NHS Orkney,1,191,852.6785714285714,0,4,17.857142857142858,6288,28071.42857142857
20210827,S08000026,"",NHS Shetland,7,441,1928.2903366856144,0,10,43.72540445999125,8861,38745.08089199825
20210827,S08000028,"",NHS Western Isles,9,541,2041.509433962264,0,13,49.056603773584904,8271,31211.32075471698
20210827,S08000029,"",NHS Fife,393,22989,6144.655600994307,0,402,107.44928233501723,149597,39985.299227541225
20210827,S08000030,"",NHS Tayside,326,29779,7148.9617092785975,1,634,152.20261673268516,173546,41662.70555755612
20210827,S08000031,"",NHS Greater Glasgow and Clyde,1988,118651,10010.715129425264,0,2326,196.24717356822248,526232,44398.771556815496
20210827,S08000032,"",NHS Lanarkshire,1269,65953,9963.290833282977,2,1389,209.83140975285517,284767,43018.7624629887
20210827,S92000003,d,Scotland,6835,407660,7458.104646908159,4,8103,148.24368825466522,2288327,41864.7457006952
