Date,Country,JCVIPriorityGroup,Population,PopulationQF,Dose,CumulativeNumberVaccinated,CumulativePercentCoverage,CumulativePercentCoverageQF,AgeBand
20210311,S92000003,1 - All Care Home Residents,,:,Dose 1,32736,,z,16 years and over
20210311,S92000003,1 - All Care Home Residents,,:,Dose 2,21671,,z,16 years and over
20210311,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 1,27119,95.546630025015,,16 years and over
20210311,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 2,19058,67.1458267272663,,16 years and over
20210311,S92000003,1 - Care Home Staff,50000,,Dose 1,47083,94.166,,16 years and over
20210311,S92000003,1 - Care Home Staff,50000,,Dose 2,27452,54.904,,16 years and over
20210311,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,312075,,z,16 years and over
20210311,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,100908,,z,16 years and over
20210311,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,177096,79.4234382918418,,16 years and over
20210311,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,73777,33.087269090534,,16 years and over
20210311,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 1,163410,91.5000839912649,,16 years and over
20210311,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 2,5194,2.90833753289658,,16 years and over
20210312,S92000003,1 - All Care Home Residents,,:,Dose 1,32838,,z,16 years and over
20210312,S92000003,1 - All Care Home Residents,,:,Dose 2,22331,,z,16 years and over
20210312,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 1,27141,95.6241412112884,,16 years and over
20210312,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 2,19594,69.0342810837473,,16 years and over
20210312,S92000003,1 - Care Home Staff,50000,,Dose 1,47302,94.604,,16 years and over
20210312,S92000003,1 - Care Home Staff,50000,,Dose 2,28687,57.374,,16 years and over
20210312,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,313604,,z,16 years and over
20210312,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,105201,,z,16 years and over
20210312,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,177518,79.6126954798029,,16 years and over
20210312,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,76548,34.3299981612453,,16 years and over
20210312,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 1,163701,91.6630270451873,,16 years and over
20210312,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 2,5498,3.0785598297777,,16 years and over
20210313,S92000003,1 - All Care Home Residents,,:,Dose 1,32849,,z,16 years and over
20210313,S92000003,1 - All Care Home Residents,,:,Dose 2,22428,,z,16 years and over
20210313,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 1,27142,95.6276644470282,,16 years and over
20210313,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 2,19676,69.323186414403,,16 years and over
20210313,S92000003,1 - Care Home Staff,50000,,Dose 1,47368,94.736,,16 years and over
20210313,S92000003,1 - Care Home Staff,50000,,Dose 2,29008,58.016,,16 years and over
20210313,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,314438,,z,16 years and over
20210313,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,108059,,z,16 years and over
20210313,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,177745,79.714499701763,,16 years and over
20210313,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,77912,34.9417204465034,,16 years and over
20210313,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 1,163895,91.7716557478022,,16 years and over
20210313,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 2,5622,3.14799260876869,,16 years and over
20210314,S92000003,1 - All Care Home Residents,,:,Dose 1,32879,,z,16 years and over
20210314,S92000003,1 - All Care Home Residents,,:,Dose 2,22486,,z,16 years and over
20210314,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 1,27156,95.676989747384,,16 years and over
20210314,S92000003,1 - Care Home Residents - Older Adults,28383,,Dose 2,19728,69.5063946728676,,16 years and over
20210314,S92000003,1 - Care Home Staff,50000,,Dose 1,47738,95.476,,16 years and over
20210314,S92000003,1 - Care Home Staff,50000,,Dose 2,29163,58.326,,16 years and over
20210314,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,318125,,z,16 years and over
20210314,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,109816,,z,16 years and over
20210314,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,179126,80.3338460917494,,16 years and over
20210314,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,78781,35.3314467411437,,16 years and over
20210314,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 1,164113,91.8937230528025,,16 years and over
20210314,S92000003,4 - Clinically Extremely Vulnerable,178590,,Dose 2,5657,3.16759057058066,,16 years and over
20210315,S92000003,1 - All Care Home Residents,,:,Dose 1,32941,,z,16 years and over
20210315,S92000003,1 - All Care Home Residents,,:,Dose 2,23141,,z,16 years and over
20210315,S92000003,1 - Care Home Residents - Older Adults,27537,,Dose 1,26424,95.9581653774921,,16 years and over
20210315,S92000003,1 - Care Home Residents - Older Adults,27537,,Dose 2,20199,73.3522170171043,,16 years and over
20210315,S92000003,1 - Care Home Staff,50000,,Dose 1,47965,95.93,,16 years and over
20210315,S92000003,1 - Care Home Staff,50000,,Dose 2,30265,60.53,,16 years and over
20210315,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,319369,,z,16 years and over
20210315,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,115145,,z,16 years and over
20210315,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,179491,80.4975401050333,,16 years and over
20210315,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,81785,36.6786708943075,,16 years and over
20210315,S92000003,4 - Clinically Extremely Vulnerable,177357,,Dose 1,163715,92.3081693984449,,16 years and over
20210315,S92000003,4 - Clinically Extremely Vulnerable,177357,,Dose 2,6029,3.39935835630959,,16 years and over
20210316,S92000003,1 - All Care Home Residents,,:,Dose 1,33019,,z,16 years and over
20210316,S92000003,1 - All Care Home Residents,,:,Dose 2,23827,,z,16 years and over
20210316,S92000003,1 - Care Home Residents - Older Adults,27531,,Dose 1,26451,96.0771493952272,,16 years and over
20210316,S92000003,1 - Care Home Residents - Older Adults,27531,,Dose 2,20737,75.3223638807163,,16 years and over
20210316,S92000003,1 - Care Home Staff,50000,,Dose 1,48246,96.492,,16 years and over
20210316,S92000003,1 - Care Home Staff,50000,,Dose 2,31527,63.054,,16 years and over
20210316,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,320987,,z,16 years and over
20210316,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,123069,,z,16 years and over
20210316,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,180017,80.7334388748615,,16 years and over
20210316,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,86365,38.7326944034587,,16 years and over
20210316,S92000003,4 - Clinically Extremely Vulnerable,177305,,Dose 1,163844,92.4079975184005,,16 years and over
20210316,S92000003,4 - Clinically Extremely Vulnerable,177305,,Dose 2,6410,3.61523927695214,,16 years and over
20210317,S92000003,1 - All Care Home Residents,,:,Dose 1,33152,,z,16 years and over
20210317,S92000003,1 - All Care Home Residents,,:,Dose 2,24619,,z,16 years and over
20210317,S92000003,1 - Care Home Residents - Older Adults,27362,,Dose 1,26316,96.1771800306995,,16 years and over
20210317,S92000003,1 - Care Home Residents - Older Adults,27362,,Dose 2,21266,77.7209268328339,,16 years and over
20210317,S92000003,1 - Care Home Staff,50000,,Dose 1,48539,97.078,,16 years and over
20210317,S92000003,1 - Care Home Staff,50000,,Dose 2,32938,65.876,,16 years and over
20210317,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,322320,,z,16 years and over
20210317,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,129613,,z,16 years and over
20210317,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,180552,80.9733739354283,,16 years and over
20210317,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,90308,40.5010382236733,,16 years and over
20210317,S92000003,4 - Clinically Extremely Vulnerable,177024,,Dose 1,163831,92.5473382140275,,16 years and over
20210317,S92000003,4 - Clinically Extremely Vulnerable,177024,,Dose 2,6821,3.85314985538684,,16 years and over
20210318,S92000003,1 - All Care Home Residents,,:,Dose 1,33218,,z,16 years and over
20210318,S92000003,1 - All Care Home Residents,,:,Dose 2,25234,,z,16 years and over
20210318,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 1,26329,96.2282080333321,,16 years and over
20210318,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 2,21815,79.7302730163371,,16 years and over
20210318,S92000003,1 - Care Home Staff,50000,,Dose 1,48715,97.43,,16 years and over
20210318,S92000003,1 - Care Home Staff,50000,,Dose 2,34002,68.004,,16 years and over
20210318,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,323742,,z,16 years and over
20210318,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,134815,,z,16 years and over
20210318,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,181109,81.223175484467,,16 years and over
20210318,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,93406,41.890419191217,,16 years and over
20210318,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 1,164050,92.6778561784296,,16 years and over
20210318,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 2,7248,4.0946607837931,,16 years and over
20210319,S92000003,1 - All Care Home Residents,,:,Dose 1,33268,,z,16 years and over
20210319,S92000003,1 - All Care Home Residents,,:,Dose 2,25593,,z,16 years and over
20210319,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 1,26332,96.2391725448631,,16 years and over
20210319,S92000003,1 - Care Home Residents - Older Adults,27361,,Dose 2,22061,80.62936296188,,16 years and over
20210319,S92000003,1 - Care Home Staff,50000,,Dose 1,48851,97.702,,16 years and over
20210319,S92000003,1 - Care Home Staff,50000,,Dose 2,34587,69.174,,16 years and over
20210319,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,324432,,z,16 years and over
20210319,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,136909,,z,16 years and over
20210319,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 1,181410,81.3581669858326,,16 years and over
20210319,S92000003,2 - Specified Frontline Health and Social Care Workers,222977,,Dose 2,94686,42.4644694295824,,16 years and over
20210319,S92000003,4 - Clinically Extremely Vulnerable,177011,,Dose 1,164145,92.7315251594534,,16 years and over
