Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
20201208,S92000003,Female,"",16 - 17,"",53579,"",Dose 1,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",16 - 17,"",53579,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",18 - 29,"",413185,"",Dose 1,"",165,"",0.0399336858792066,"",165,"",0.0399336858792066,""
20201208,S92000003,Female,"",18 - 29,"",413185,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",30 - 39,"",370019,"",Dose 1,"",294,"",0.0794553793183593,"",294,"",0.0794553793183593,""
20201208,S92000003,Female,"",30 - 39,"",370019,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",40 - 49,"",345328,"",Dose 1,"",386,"",0.111777788073947,"",386,"",0.111777788073947,""
20201208,S92000003,Female,"",40 - 49,"",345328,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",50 - 54,"",203758,"",Dose 1,"",227,"",0.111406668695217,"",227,"",0.111406668695217,""
20201208,S92000003,Female,"",50 - 54,"",203758,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",55 - 59,"",205996,"",Dose 1,"",269,"",0.130585059904076,"",269,"",0.130585059904076,""
20201208,S92000003,Female,"",55 - 59,"",205996,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",60 - 64,"",181868,"",Dose 1,"",129,"",0.0709305650251831,"",129,"",0.0709305650251831,""
20201208,S92000003,Female,"",60 - 64,"",181868,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",65 - 69,"",155904,"",Dose 1,"",27,"",0.0173183497536946,"",27,"",0.0173183497536946,""
20201208,S92000003,Female,"",65 - 69,"",155904,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",70 - 74,"",149920,"",Dose 1,"",5,"",0.00333511205976521,"",5,"",0.00333511205976521,""
20201208,S92000003,Female,"",70 - 74,"",149920,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",75 - 79,"",109004,"",Dose 1,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",75 - 79,"",109004,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Female,"",80 years and over,d,165451,"",Dose 1,"",2,"",0.00120881711201504,"",2,"",0.00120881711201504,""
20201208,S92000003,Female,"",80 years and over,d,165451,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",16 - 17,"",56560,"",Dose 1,"",1,"",0.00176803394625177,"",1,"",0.00176803394625177,""
20201208,S92000003,Male,"",16 - 17,"",56560,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",18 - 29,"",420762,"",Dose 1,"",36,"",0.00855590571391903,"",36,"",0.00855590571391903,""
20201208,S92000003,Male,"",18 - 29,"",420762,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",30 - 39,"",359716,"",Dose 1,"",85,"",0.0236297523601953,"",85,"",0.0236297523601953,""
20201208,S92000003,Male,"",30 - 39,"",359716,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",40 - 49,"",328962,"",Dose 1,"",113,"",0.0343504720910014,"",113,"",0.0343504720910014,""
20201208,S92000003,Male,"",40 - 49,"",328962,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",50 - 54,"",189355,"",Dose 1,"",65,"",0.0343270576430514,"",65,"",0.0343270576430514,""
20201208,S92000003,Male,"",50 - 54,"",189355,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",55 - 59,"",193348,"",Dose 1,"",51,"",0.0263773093075698,"",51,"",0.0263773093075698,""
20201208,S92000003,Male,"",55 - 59,"",193348,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",60 - 64,"",170701,"",Dose 1,"",38,"",0.0222611466833821,"",38,"",0.0222611466833821,""
20201208,S92000003,Male,"",60 - 64,"",170701,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",65 - 69,"",144529,"",Dose 1,"",11,"",0.00761092929446686,"",11,"",0.00761092929446686,""
20201208,S92000003,Male,"",65 - 69,"",144529,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",70 - 74,"",135910,"",Dose 1,"",3,"",0.00220734309469502,"",3,"",0.00220734309469502,""
20201208,S92000003,Male,"",70 - 74,"",135910,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",75 - 79,"",89206,"",Dose 1,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",75 - 79,"",89206,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Male,"",80 years and over,d,106156,"",Dose 1,"",2,"",0.00188401974452692,"",2,"",0.00188401974452692,""
20201208,S92000003,Male,"",80 years and over,d,106156,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,16 - 17,"",110139,"",Dose 1,"",1,"",0.000907943598543658,"",1,"",0.000907943598543658,""
20201208,S92000003,Total,d,16 - 17,"",110139,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,18 - 29,"",833947,"",Dose 1,"",201,"",0.0241022511022883,"",201,"",0.0241022511022883,""
20201208,S92000003,Total,d,18 - 29,"",833947,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,18 years and over,d,4439078,"",Dose 1,"",1908,"",0.0429818984933358,"",1908,"",0.0429818984933358,""
20201208,S92000003,Total,d,18 years and over,d,4439078,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,30 - 39,"",729735,"",Dose 1,"",379,"",0.051936661938923,"",379,"",0.051936661938923,""
20201208,S92000003,Total,d,30 - 39,"",729735,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,40 - 49,"",674290,"",Dose 1,"",499,"",0.0740037669252102,"",499,"",0.0740037669252102,""
20201208,S92000003,Total,d,40 - 49,"",674290,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,40 years and over,d,2875396,"",Dose 1,"",1328,"",0.0461849428739554,"",1328,"",0.0461849428739554,""
20201208,S92000003,Total,d,40 years and over,d,2875396,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,50 - 54,"",393113,"",Dose 1,"",292,"",0.074278896907505,"",292,"",0.074278896907505,""
20201208,S92000003,Total,d,50 - 54,"",393113,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,55 - 59,"",399344,"",Dose 1,"",320,"",0.0801314155214552,"",320,"",0.0801314155214552,""
20201208,S92000003,Total,d,55 - 59,"",399344,"",Dose 2,"",0,"",0,"",0,"",0,""
20201208,S92000003,Total,d,60 - 64,"",352569,"",Dose 1,"",167,"",0.0473666147619331,"",167,"",0.0473666147619331,""
