Date,HB,HBQF,HBName,NewPositive,TotalCases,CrudeRatePositive,NewDeaths,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20210925,S08000015,"",NHS Ayrshire and Arran,337,38756,10531.807929563303,2,778,211.4187885540368,167011,45384.65719177152
20210925,S08000016,"",NHS Borders,33,7341,6370.183963901422,0,131,113.67580701145435,48807,42352.481777160705
20210925,S08000017,"",NHS Dumfries and Galloway,97,10572,7129.273720412704,0,162,109.24539753186325,66428,44796.00782250995
20210925,S08000019,"",NHS Forth Valley,219,29317,9582.911123459615,1,502,164.08982446964993,152326,49791.12868956951
20210925,S08000020,"",NHS Grampian,267,37161,6346.341046879003,1,497,84.87746563060371,257180,43921.09982068141
20210925,S08000022,"",NHS Highland,126,18373,5726.173408963411,1,196,61.085831826965034,139122,43359.097425668515
20210925,S08000024,"",NHS Lothian,497,90714,9941.369220484608,3,1239,135.78230994312267,462283,50661.705881708294
20210925,S08000025,"",NHS Orkney,8,313,1397.3214285714284,0,8,35.714285714285715,7037,31415.17857142857
20210925,S08000026,"",NHS Shetland,1,636,2780.935723655444,0,11,48.09794490599038,9748,42623.524267599474
20210925,S08000028,"",NHS Western Isles,9,719,2713.2075471698113,0,13,49.056603773584904,9576,36135.84905660377
20210925,S08000029,"",NHS Fife,249,33137,8857.081763023549,3,424,113.32959131852564,171889,45943.65594846711
20210925,S08000030,"",NHS Tayside,232,38460,9232.985235866043,2,670,160.84503661025087,191332,45932.54111151122
20210925,S08000031,"",NHS Greater Glasgow and Clyde,770,158658,13386.149640579122,3,2452,206.87793189564982,587146,49538.152610441764
20210925,S08000032,"",NHS Lanarkshire,416,89193,13474.076983503535,2,1449,218.8954015348359,314944,47577.49712973594
20210925,S92000003,d,Scotland,3261,553350,10123.490669593853,18,8532,156.09220636663008,2584829,47289.22429564581
