Date,HB,HBQF,HBName,NewPositive,TotalCases,CrudeRatePositive,NewDeaths,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20211002,S08000015,"",NHS Ayrshire and Arran,191,40362,10968.232832413923,1,802,217.94070491045954,169795,46141.19948911655
20211002,S08000016,"",NHS Borders,46,7572,6570.635196112461,0,132,114.54356126345019,49757,43176.848316556745
20211002,S08000017,"",NHS Dumfries and Galloway,81,11092,7479.937959403871,0,163,109.91975183761548,67548,45551.28464495246
20211002,S08000019,"",NHS Forth Valley,159,30448,9952.603536756775,1,509,166.3779295917367,154742,50580.851828849736
20211002,S08000020,"",NHS Grampian,257,38924,6647.42549739561,1,505,86.24370250192126,263079,44928.5287336692
20211002,S08000022,"",NHS Highland,113,19018,5927.195661659291,1,202,62.95580627064763,142290,44346.44393193293
20211002,S08000024,"",NHS Lothian,410,93411,10236.934103387435,2,1265,138.63165623732863,472390,51769.334458459816
20211002,S08000025,"",NHS Orkney,0,324,1446.4285714285713,1,9,40.17857142857143,7172,32017.85714285714
20211002,S08000026,"",NHS Shetland,2,653,2855.268911237429,0,11,48.09794490599038,9875,43178.83690424136
20211002,S08000028,"",NHS Western Isles,16,788,2973.584905660377,0,13,49.056603773584904,9837,37120.75471698113
20211002,S08000029,"",NHS Fife,172,34578,9242.242001443348,0,431,115.20059872236924,175107,46803.7847806912
20211002,S08000030,"",NHS Tayside,148,39741,9540.51134317609,2,679,163.00564157964232,194626,46723.322530308484
20211002,S08000031,"",NHS Greater Glasgow and Clyde,544,162627,13721.018527893086,6,2483,209.4934359285883,596128,50295.97381121124
20211002,S08000032,"",NHS Lanarkshire,377,91893,13881.95661369267,2,1461,220.70819989123208,318690,48143.392349990936
20211002,S92000003,d,Scotland,2516,571431,10454.281009879252,17,8665,158.52542993047933,2631036,48134.57738748628
