journeydate,sex,ageband,ccgcode,ccgname,Total
14/09/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,26
14/09/2020,Female,0-18 years,E38000006,NHS Barnsley CCG,32
14/09/2020,Female,0-18 years,E38000007,NHS Basildon and Brentwood CCG,31
14/09/2020,Female,0-18 years,E38000008,NHS Bassetlaw CCG,16
14/09/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,68
14/09/2020,Female,0-18 years,E38000014,NHS Blackburn with Darwen CCG,21
14/09/2020,Female,0-18 years,E38000015,NHS Blackpool CCG,31
14/09/2020,Female,0-18 years,E38000016,NHS Bolton CCG,38
14/09/2020,Female,0-18 years,E38000020,NHS Brent CCG,16
14/09/2020,Female,0-18 years,E38000021,NHS Brighton and Hove CCG,30
14/09/2020,Female,0-18 years,E38000024,NHS Bury CCG,22
14/09/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,31
14/09/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,110
14/09/2020,Female,0-18 years,E38000028,NHS Cannock Chase CCG,16
14/09/2020,Female,0-18 years,E38000030,NHS Castle Point and Rochford CCG,33
14/09/2020,Female,0-18 years,E38000031,NHS Central London (Westminster) CCG,12
14/09/2020,Female,0-18 years,E38000034,NHS Chorley and South Ribble CCG,31
14/09/2020,Female,0-18 years,E38000035,NHS City and Hackney CCG,18
14/09/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,52
14/09/2020,Female,0-18 years,E38000044,NHS Doncaster CCG,47
14/09/2020,Female,0-18 years,E38000045,NHS Dorset CCG,117
14/09/2020,Female,0-18 years,E38000046,NHS Dudley CCG,38
14/09/2020,Female,0-18 years,E38000048,NHS Ealing CCG,35
14/09/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,81
14/09/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,35
14/09/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,34
14/09/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,23
14/09/2020,Female,0-18 years,E38000053,NHS East Staffordshire CCG,15
14/09/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,26
14/09/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,86
14/09/2020,Female,0-18 years,E38000064,NHS Greater Huddersfield CCG,18
14/09/2020,Female,0-18 years,E38000068,NHS Halton CCG,7
14/09/2020,Female,0-18 years,E38000070,NHS Hammersmith and Fulham CCG,19
14/09/2020,Female,0-18 years,E38000074,NHS Harrow CCG,32
14/09/2020,Female,0-18 years,E38000077,NHS Havering CCG,37
14/09/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,86
14/09/2020,Female,0-18 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",28
14/09/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,37
14/09/2020,Female,0-18 years,E38000084,NHS Hounslow CCG,32
14/09/2020,Female,0-18 years,E38000085,NHS Hull CCG,23
14/09/2020,Female,0-18 years,E38000086,NHS Ipswich and East Suffolk CCG,53
14/09/2020,Female,0-18 years,E38000087,NHS Isle of Wight CCG,26
14/09/2020,Female,0-18 years,E38000089,NHS Kernow CCG,100
14/09/2020,Female,0-18 years,E38000091,NHS Knowsley CCG,24
14/09/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,38
14/09/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,65
14/09/2020,Female,0-18 years,E38000102,NHS Luton CCG,33
14/09/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,52
14/09/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,66
14/09/2020,Female,0-18 years,E38000113,NHS Newham CCG,33
14/09/2020,Female,0-18 years,E38000117,NHS North East Essex CCG,42
14/09/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,34
14/09/2020,Female,0-18 years,E38000119,NHS North East Lincolnshire CCG,14
14/09/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,34
14/09/2020,Female,0-18 years,E38000121,NHS North Kirklees CCG,21
14/09/2020,Female,0-18 years,E38000122,NHS North Lincolnshire CCG,25
14/09/2020,Female,0-18 years,E38000126,NHS North Staffordshire CCG,23
14/09/2020,Female,0-18 years,E38000127,NHS North Tyneside CCG,27
14/09/2020,Female,0-18 years,E38000130,NHS Northumberland CCG,48
14/09/2020,Female,0-18 years,E38000135,NHS Oldham CCG,41
14/09/2020,Female,0-18 years,E38000136,NHS Oxfordshire CCG,108
14/09/2020,Female,0-18 years,E38000137,NHS Portsmouth CCG,25
14/09/2020,Female,0-18 years,E38000138,NHS Redbridge CCG,32
14/09/2020,Female,0-18 years,E38000141,NHS Rotherham CCG,42
14/09/2020,Female,0-18 years,E38000143,NHS Salford CCG,29
14/09/2020,Female,0-18 years,E38000144,NHS Sandwell and West Birmingham CCG,65
14/09/2020,Female,0-18 years,E38000146,NHS Sheffield CCG,64
14/09/2020,Female,0-18 years,E38000147,NHS Shropshire CCG,45
14/09/2020,Female,0-18 years,E38000150,NHS Somerset CCG,83
14/09/2020,Female,0-18 years,E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,37
14/09/2020,Female,0-18 years,E38000154,NHS South Eastern Hampshire CCG,29
14/09/2020,Female,0-18 years,E38000161,NHS South Sefton CCG,22
14/09/2020,Female,0-18 years,E38000163,NHS South Tyneside CCG,23
