journeydate,sex,ageband,ccgcode,ccgname,Total
18/05/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,2
18/05/2020,Female,0-18 years,E38000006,NHS Barnsley CCG,2
18/05/2020,Female,0-18 years,E38000007,NHS Basildon and Brentwood CCG,5
18/05/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,3
18/05/2020,Female,0-18 years,E38000014,NHS Blackburn with Darwen CCG,5
18/05/2020,Female,0-18 years,E38000015,NHS Blackpool CCG,2
18/05/2020,Female,0-18 years,E38000016,NHS Bolton CCG,3
18/05/2020,Female,0-18 years,E38000020,NHS Brent CCG,2
18/05/2020,Female,0-18 years,E38000024,NHS Bury CCG,2
18/05/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,4
18/05/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,9
18/05/2020,Female,0-18 years,E38000028,NHS Cannock Chase CCG,2
18/05/2020,Female,0-18 years,E38000031,NHS Central London (Westminster) CCG,1
18/05/2020,Female,0-18 years,E38000034,NHS Chorley and South Ribble CCG,4
18/05/2020,Female,0-18 years,E38000035,NHS City and Hackney CCG,1
18/05/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,5
18/05/2020,Female,0-18 years,E38000044,NHS Doncaster CCG,4
18/05/2020,Female,0-18 years,E38000045,NHS Dorset CCG,12
18/05/2020,Female,0-18 years,E38000046,NHS Dudley CCG,7
18/05/2020,Female,0-18 years,E38000048,NHS Ealing CCG,2
18/05/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,9
18/05/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,5
18/05/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,5
18/05/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,5
18/05/2020,Female,0-18 years,E38000053,NHS East Staffordshire CCG,1
18/05/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,6
18/05/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,12
18/05/2020,Female,0-18 years,E38000064,NHS Greater Huddersfield CCG,8
18/05/2020,Female,0-18 years,E38000068,NHS Halton CCG,1
18/05/2020,Female,0-18 years,E38000070,NHS Hammersmith and Fulham CCG,1
18/05/2020,Female,0-18 years,E38000074,NHS Harrow CCG,2
18/05/2020,Female,0-18 years,E38000077,NHS Havering CCG,4
18/05/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,8
18/05/2020,Female,0-18 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",5
18/05/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,4
18/05/2020,Female,0-18 years,E38000084,NHS Hounslow CCG,2
18/05/2020,Female,0-18 years,E38000085,NHS Hull CCG,4
18/05/2020,Female,0-18 years,E38000086,NHS Ipswich and East Suffolk CCG,4
18/05/2020,Female,0-18 years,E38000087,NHS Isle of Wight CCG,2
18/05/2020,Female,0-18 years,E38000089,NHS Kernow CCG,4
18/05/2020,Female,0-18 years,E38000091,NHS Knowsley CCG,3
18/05/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,2
18/05/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,7
18/05/2020,Female,0-18 years,E38000102,NHS Luton CCG,3
18/05/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,5
18/05/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,7
18/05/2020,Female,0-18 years,E38000113,NHS Newham CCG,1
18/05/2020,Female,0-18 years,E38000117,NHS North East Essex CCG,1
18/05/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,1
18/05/2020,Female,0-18 years,E38000119,NHS North East Lincolnshire CCG,1
18/05/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,4
18/05/2020,Female,0-18 years,E38000121,NHS North Kirklees CCG,1
18/05/2020,Female,0-18 years,E38000122,NHS North Lincolnshire CCG,1
18/05/2020,Female,0-18 years,E38000126,NHS North Staffordshire CCG,1
18/05/2020,Female,0-18 years,E38000127,NHS North Tyneside CCG,6
