SiteType,Call Date,Sex,AgeBand,CCGCode,CCGName,TriageCount
111,13/04/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,1
111,13/04/2020,Female,0-18 years,E38000020,NHS Brent CCG,8
111,13/04/2020,Female,0-18 years,E38000014,NHS Blackburn with Darwen CCG,2
111,13/04/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,4
111,13/04/2020,Female,0-18 years,E38000030,NHS Castle Point and Rochford CCG,2
111,13/04/2020,Female,0-18 years,E38000007,NHS Basildon and Brentwood CCG,7
111,13/04/2020,Female,0-18 years,E38000016,NHS Bolton CCG,2
111,13/04/2020,Female,0-18 years,E38000006,NHS Barnsley CCG,2
111,13/04/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,4
111,13/04/2020,Female,0-18 years,E38000015,NHS Blackpool CCG,4
111,13/04/2020,Female,0-18 years,E38000021,NHS Brighton and Hove CCG,2
111,13/04/2020,Female,0-18 years,E38000024,NHS Bury CCG,1
111,13/04/2020,Female,0-18 years,E38000008,NHS Bassetlaw CCG,4
111,13/04/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,3
111,13/04/2020,Female,0-18 years,E38000031,NHS Central London (Westminster) CCG,2
111,13/04/2020,Female,0-18 years,E38000035,NHS City and Hackney CCG,3
111,13/04/2020,Female,0-18 years,E38000045,NHS Dorset CCG,3
111,13/04/2020,Female,0-18 years,E38000046,NHS Dudley CCG,4
111,13/04/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,1
111,13/04/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,5
111,13/04/2020,Female,0-18 years,E38000034,NHS Chorley and South Ribble CCG,2
111,13/04/2020,Female,0-18 years,E38000044,NHS Doncaster CCG,3
111,13/04/2020,Female,0-18 years,E38000048,NHS Ealing CCG,8
111,13/04/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,1
