journeydate,sex,ageband,ccgcode,ccgname,Total
29/06/2020,Female,0-18 years,E38000006,NHS Barnsley CCG,1
29/06/2020,Female,0-18 years,E38000014,NHS Blackburn with Darwen CCG,1
29/06/2020,Female,0-18 years,E38000016,NHS Bolton CCG,4
29/06/2020,Female,0-18 years,E38000020,NHS Brent CCG,2
29/06/2020,Female,0-18 years,E38000021,NHS Brighton and Hove CCG,1
29/06/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,3
29/06/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,4
29/06/2020,Female,0-18 years,E38000034,NHS Chorley and South Ribble CCG,1
29/06/2020,Female,0-18 years,E38000035,NHS City and Hackney CCG,1
29/06/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,4
29/06/2020,Female,0-18 years,E38000044,NHS Doncaster CCG,2
29/06/2020,Female,0-18 years,E38000045,NHS Dorset CCG,5
29/06/2020,Female,0-18 years,E38000046,NHS Dudley CCG,2
29/06/2020,Female,0-18 years,E38000048,NHS Ealing CCG,1
29/06/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,2
29/06/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,2
29/06/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,1
29/06/2020,Female,0-18 years,E38000053,NHS East Staffordshire CCG,1
29/06/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,1
29/06/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,4
29/06/2020,Female,0-18 years,E38000064,NHS Greater Huddersfield CCG,2
29/06/2020,Female,0-18 years,E38000070,NHS Hammersmith and Fulham CCG,1
29/06/2020,Female,0-18 years,E38000077,NHS Havering CCG,1
29/06/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,2
29/06/2020,Female,0-18 years,E38000080,NHS Heywood; Middleton and Rochdale CCG,2
29/06/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,1
29/06/2020,Female,0-18 years,E38000087,NHS Isle of Wight CCG,1
29/06/2020,Female,0-18 years,E38000089,NHS Kernow CCG,3
29/06/2020,Female,0-18 years,E38000091,NHS Knowsley CCG,1
29/06/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,2
29/06/2020,Female,0-18 years,E38000102,NHS Luton CCG,1
29/06/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,2
29/06/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,1
29/06/2020,Female,0-18 years,E38000113,NHS Newham CCG,1
29/06/2020,Female,0-18 years,E38000117,NHS North East Essex CCG,2
29/06/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,2
29/06/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,3
29/06/2020,Female,0-18 years,E38000126,NHS North Staffordshire CCG,1
29/06/2020,Female,0-18 years,E38000127,NHS North Tyneside CCG,1
29/06/2020,Female,0-18 years,E38000130,NHS Northumberland CCG,1
29/06/2020,Female,0-18 years,E38000135,NHS Oldham CCG,1
29/06/2020,Female,0-18 years,E38000137,NHS Portsmouth CCG,1
29/06/2020,Female,0-18 years,E38000141,NHS Rotherham CCG,3
29/06/2020,Female,0-18 years,E38000143,NHS Salford CCG,2
29/06/2020,Female,0-18 years,E38000146,NHS Sheffield CCG,7
29/06/2020,Female,0-18 years,E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,2
29/06/2020,Female,0-18 years,E38000154,NHS South Eastern Hampshire CCG,2
29/06/2020,Female,0-18 years,E38000163,NHS South Tyneside CCG,1
29/06/2020,Female,0-18 years,E38000164,NHS South Warwickshire CCG,2
29/06/2020,Female,0-18 years,E38000172,NHS St Helens CCG,2
29/06/2020,Female,0-18 years,E38000174,NHS Stockport CCG,1
29/06/2020,Female,0-18 years,E38000175,NHS Stoke on Trent CCG,1
29/06/2020,Female,0-18 years,E38000182,NHS Tameside and Glossop CCG,1
29/06/2020,Female,0-18 years,E38000185,NHS Thurrock CCG,3
29/06/2020,Female,0-18 years,E38000186,NHS Tower Hamlets CCG,1
29/06/2020,Female,0-18 years,E38000187,NHS Trafford CCG,2
29/06/2020,Female,0-18 years,E38000188,NHS Vale of York CCG,1
29/06/2020,Female,0-18 years,E38000190,NHS Wakefield CCG,3
29/06/2020,Female,0-18 years,E38000191,NHS Walsall CCG,1
