SiteType,Call Date,Sex,AgeBand,CCGCode,CCGName,TriageCount
111,06/04/2020,Female,0-18 years,E38000006,NHS Barnsley CCG,3
111,06/04/2020,Female,0-18 years,E38000007,NHS Basildon and Brentwood CCG,3
111,06/04/2020,Female,0-18 years,E38000024,NHS Bury CCG,3
111,06/04/2020,Female,0-18 years,E38000028,NHS Cannock Chase CCG,2
111,06/04/2020,Female,0-18 years,E38000035,NHS City and Hackney CCG,2
111,06/04/2020,Female,0-18 years,E38000021,NHS Brighton and Hove CCG,1
111,06/04/2020,Female,0-18 years,E38000016,NHS Bolton CCG,6
111,06/04/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,1
111,06/04/2020,Female,0-18 years,E38000014,NHS Blackburn with Darwen CCG,1
111,06/04/2020,Female,0-18 years,NULL,NULL,1
111,06/04/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,3
111,06/04/2020,Female,0-18 years,E38000008,NHS Bassetlaw CCG,1
111,06/04/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,9
111,06/04/2020,Female,,E38000244,NHS South East London CCG,1
111,06/04/2020,Female,0-18 years,E38000020,NHS Brent CCG,5
111,06/04/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,21
111,06/04/2020,Female,,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",1
111,06/04/2020,Female,0-18 years,E38000015,NHS Blackpool CCG,1
111,06/04/2020,Female,0-18 years,E38000046,NHS Dudley CCG,1
111,06/04/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,9
111,06/04/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,4
111,06/04/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,1
111,06/04/2020,Female,0-18 years,E38000053,NHS East Staffordshire CCG,1
111,06/04/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,1
111,06/04/2020,Female,0-18 years,E38000034,NHS Chorley and South Ribble CCG,2
111,06/04/2020,Female,0-18 years,E38000045,NHS Dorset CCG,3
111,06/04/2020,Female,0-18 years,E38000048,NHS Ealing CCG,3
111,06/04/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,13
111,06/04/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,10
111,06/04/2020,Female,0-18 years,E38000044,NHS Doncaster CCG,7
111,06/04/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,8
111,06/04/2020,Female,0-18 years,E38000070,NHS Hammersmith and Fulham CCG,3
111,06/04/2020,Female,0-18 years,E38000077,NHS Havering CCG,5
111,06/04/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,8
111,06/04/2020,Female,0-18 years,E38000084,NHS Hounslow CCG,8
111,06/04/2020,Female,0-18 years,E38000068,NHS Halton CCG,2
111,06/04/2020,Female,0-18 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",5
111,06/04/2020,Female,0-18 years,E38000087,NHS Isle of Wight CCG,3
111,06/04/2020,Female,0-18 years,E38000089,NHS Kernow CCG,3
111,06/04/2020,Female,0-18 years,E38000074,NHS Harrow CCG,5
111,06/04/2020,Female,0-18 years,E38000085,NHS Hull CCG,4
111,06/04/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,7
111,06/04/2020,Female,0-18 years,E38000086,NHS Ipswich and East Suffolk CCG,9
111,06/04/2020,Female,0-18 years,E38000091,NHS Knowsley CCG,9
111,06/04/2020,Female,0-18 years,E38000102,NHS Luton CCG,4
111,06/04/2020,Female,0-18 years,E38000126,NHS North Staffordshire CCG,3
111,06/04/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,11
111,06/04/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,10
111,06/04/2020,Female,0-18 years,E38000119,NHS North East Lincolnshire CCG,1
111,06/04/2020,Female,0-18 years,E38000127,NHS North Tyneside CCG,3
111,06/04/2020,Female,0-18 years,E38000130,NHS Northumberland CCG,4
111,06/04/2020,Female,0-18 years,E38000135,NHS Oldham CCG,4
111,06/04/2020,Female,0-18 years,E38000113,NHS Newham CCG,9
111,06/04/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,3
111,06/04/2020,Female,0-18 years,E38000121,NHS North Kirklees CCG,1
111,06/04/2020,Female,0-18 years,E38000117,NHS North East Essex CCG,4
111,06/04/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,5
111,06/04/2020,Female,0-18 years,E38000122,NHS North Lincolnshire CCG,4
111,06/04/2020,Female,0-18 years,E38000163,NHS South Tyneside CCG,1
111,06/04/2020,Female,0-18 years,E38000137,NHS Portsmouth CCG,2
111,06/04/2020,Female,0-18 years,E38000147,NHS Shropshire CCG,4
111,06/04/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,4
111,06/04/2020,Female,0-18 years,E38000136,NHS Oxfordshire CCG,13
111,06/04/2020,Female,0-18 years,E38000143,NHS Salford CCG,5
111,06/04/2020,Female,0-18 years,E38000161,NHS South Sefton CCG,2
