journeydate,sex,ageband,ccgcode,ccgname,Total
11/05/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,1
11/05/2020,Female,0-18 years,E38000006,NHS Barnsley CCG,3
11/05/2020,Female,0-18 years,E38000007,NHS Basildon and Brentwood CCG,3
11/05/2020,Female,0-18 years,E38000008,NHS Bassetlaw CCG,2
11/05/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,6
11/05/2020,Female,0-18 years,E38000014,NHS Blackburn with Darwen CCG,4
11/05/2020,Female,0-18 years,E38000016,NHS Bolton CCG,4
11/05/2020,Female,0-18 years,E38000020,NHS Brent CCG,2
11/05/2020,Female,0-18 years,E38000021,NHS Brighton and Hove CCG,5
11/05/2020,Female,0-18 years,E38000024,NHS Bury CCG,1
11/05/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,9
11/05/2020,Female,0-18 years,E38000028,NHS Cannock Chase CCG,1
11/05/2020,Female,0-18 years,E38000030,NHS Castle Point and Rochford CCG,1
11/05/2020,Female,0-18 years,E38000034,NHS Chorley and South Ribble CCG,2
11/05/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,2
11/05/2020,Female,0-18 years,E38000044,NHS Doncaster CCG,2
11/05/2020,Female,0-18 years,E38000045,NHS Dorset CCG,8
11/05/2020,Female,0-18 years,E38000046,NHS Dudley CCG,3
11/05/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,6
11/05/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,3
11/05/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,1
11/05/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,4
11/05/2020,Female,0-18 years,E38000053,NHS East Staffordshire CCG,2
11/05/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,1
11/05/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,3
11/05/2020,Female,0-18 years,E38000068,NHS Halton CCG,2
11/05/2020,Female,0-18 years,E38000070,NHS Hammersmith and Fulham CCG,1
11/05/2020,Female,0-18 years,E38000074,NHS Harrow CCG,2
11/05/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,4
11/05/2020,Female,0-18 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",1
11/05/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,2
11/05/2020,Female,0-18 years,E38000084,NHS Hounslow CCG,3
11/05/2020,Female,0-18 years,E38000086,NHS Ipswich and East Suffolk CCG,3
11/05/2020,Female,0-18 years,E38000087,NHS Isle of Wight CCG,1
11/05/2020,Female,0-18 years,E38000089,NHS Kernow CCG,3
11/05/2020,Female,0-18 years,E38000091,NHS Knowsley CCG,5
11/05/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,1
11/05/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,7
11/05/2020,Female,0-18 years,E38000102,NHS Luton CCG,4
11/05/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,5
11/05/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,4
11/05/2020,Female,0-18 years,E38000113,NHS Newham CCG,1
11/05/2020,Female,0-18 years,E38000117,NHS North East Essex CCG,2
11/05/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,2
11/05/2020,Female,0-18 years,E38000119,NHS North East Lincolnshire CCG,3
