journeydate,sex,ageband,ccgcode,ccgname,Total
13/07/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,1
13/07/2020,Female,0-18 years,E38000006,NHS Barnsley CCG,1
13/07/2020,Female,0-18 years,E38000007,NHS Basildon and Brentwood CCG,1
13/07/2020,Female,0-18 years,E38000008,NHS Bassetlaw CCG,2
13/07/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,5
13/07/2020,Female,0-18 years,E38000014,NHS Blackburn with Darwen CCG,2
13/07/2020,Female,0-18 years,E38000020,NHS Brent CCG,2
13/07/2020,Female,0-18 years,E38000021,NHS Brighton and Hove CCG,1
13/07/2020,Female,0-18 years,E38000024,NHS Bury CCG,1
13/07/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,3
13/07/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,2
13/07/2020,Female,0-18 years,E38000034,NHS Chorley and South Ribble CCG,2
13/07/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,3
13/07/2020,Female,0-18 years,E38000044,NHS Doncaster CCG,1
13/07/2020,Female,0-18 years,E38000045,NHS Dorset CCG,6
13/07/2020,Female,0-18 years,E38000046,NHS Dudley CCG,1
13/07/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,1
13/07/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,4
13/07/2020,Female,0-18 years,E38000074,NHS Harrow CCG,2
13/07/2020,Female,0-18 years,E38000077,NHS Havering CCG,1
13/07/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,2
13/07/2020,Female,0-18 years,E38000080,NHS Heywood Middleton and Rochdale CCG,3
13/07/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,1
13/07/2020,Female,0-18 years,E38000085,NHS Hull CCG,3
13/07/2020,Female,0-18 years,E38000086,NHS Ipswich and East Suffolk CCG,1
13/07/2020,Female,0-18 years,E38000089,NHS Kernow CCG,1
13/07/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,1
13/07/2020,Female,0-18 years,E38000113,NHS Newham CCG,2
13/07/2020,Female,0-18 years,E38000117,NHS North East Essex CCG,1
13/07/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,1
13/07/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,2
13/07/2020,Female,0-18 years,E38000121,NHS North Kirklees CCG,3
13/07/2020,Female,0-18 years,E38000122,NHS North Lincolnshire CCG,2
13/07/2020,Female,0-18 years,E38000126,NHS North Staffordshire CCG,1
