SiteType,Call Date,Sex,AgeBand,CCGCode,CCGName,TriageCount
111,25/05/2020,Female,0-18 years,E38000031,NHS Central London (Westminster) CCG,2
111,25/05/2020,Female,0-18 years,E38000045,NHS Dorset CCG,1
111,25/05/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,3
111,25/05/2020,Female,0-18 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",3
111,25/05/2020,Female,0-18 years,E38000085,NHS Hull CCG,4
111,25/05/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,3
111,25/05/2020,Female,0-18 years,E38000144,NHS Sandwell and West Birmingham CCG,2
111,25/05/2020,Female,0-18 years,E38000182,NHS Tameside and Glossop CCG,2
111,25/05/2020,Female,0-18 years,E38000204,NHS West Suffolk CCG,1
111,25/05/2020,Female,0-18 years,E38000246,NHS Surrey Heartlands CCG,6
111,25/05/2020,Female,19-69 years,E38000008,NHS Bassetlaw CCG,4
111,25/05/2020,Female,,E38000212,NHS Newcastle Gateshead CCG,1
111,25/05/2020,Female,0-18 years,E38000020,NHS Brent CCG,1
111,25/05/2020,Female,0-18 years,E38000030,NHS Castle Point and Rochford CCG,1
111,25/05/2020,Female,0-18 years,E38000077,NHS Havering CCG,4
111,25/05/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,2
111,25/05/2020,Female,0-18 years,E38000122,NHS North Lincolnshire CCG,1
111,25/05/2020,Female,0-18 years,E38000130,NHS Northumberland CCG,2
111,25/05/2020,Female,0-18 years,E38000135,NHS Oldham CCG,3
111,25/05/2020,Female,0-18 years,E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,1
111,25/05/2020,Female,0-18 years,E38000164,NHS South Warwickshire CCG,1
111,25/05/2020,Female,0-18 years,E38000175,NHS Stoke on Trent CCG,1
111,25/05/2020,Female,0-18 years,E38000187,NHS Trafford CCG,3
111,25/05/2020,Female,0-18 years,E38000192,NHS Waltham Forest CCG,2
111,25/05/2020,Female,0-18 years,E38000228,NHS Morecambe Bay CCG,2
111,25/05/2020,Female,0-18 years,E38000236,NHS Herefordshire and Worcestershire CCG,1
111,25/05/2020,Female,0-18 years,E38000237,NHS Kent and Medway CCG,2
111,25/05/2020,Female,0-18 years,E38000242,NHS Northamptonshire CCG,1
111,25/05/2020,Female,0-18 years,E38000248,NHS West Sussex CCG,2
111,25/05/2020,Female,19-69 years,E38000014,NHS Blackburn with Darwen CCG,6
111,25/05/2020,Female,19-69 years,E38000021,NHS Brighton and Hove CCG,4
111,25/05/2020,Female,19-69 years,E38000034,NHS Chorley and South Ribble CCG,6
111,25/05/2020,Female,19-69 years,E38000097,NHS Leicester City CCG,15
111,25/05/2020,Female,19-69 years,E38000120,NHS North Hampshire CCG,3
111,25/05/2020,Female,19-69 years,E38000126,NHS North Staffordshire CCG,3
111,25/05/2020,Female,19-69 years,E38000136,NHS Oxfordshire CCG,13
111,25/05/2020,Female,19-69 years,E38000143,NHS Salford CCG,4
111,25/05/2020,Female,19-69 years,E38000173,NHS Stafford and Surrounds CCG,3
111,25/05/2020,Female,19-69 years,E38000176,NHS Sunderland CCG,9
111,25/05/2020,Female,19-69 years,E38000186,NHS Tower Hamlets CCG,4
111,25/05/2020,Female,19-69 years,E38000198,NHS West Hampshire CCG,7
111,25/05/2020,Female,19-69 years,E38000215,NHS North Cumbria CCG,10
111,25/05/2020,Female,19-69 years,E38000221,NHS Berkshire West CCG,2
111,25/05/2020,Female,19-69 years,E38000227,NHS Greater Preston CCG,2
111,25/05/2020,Female,19-69 years,E38000240,NHS North Central London CCG,16
111,25/05/2020,Female,70-120 years,E38000034,NHS Chorley and South Ribble CCG,1
111,25/05/2020,Female,70-120 years,E38000045,NHS Dorset CCG,4
111,25/05/2020,Female,70-120 years,E38000050,NHS East Lancashire CCG,1
111,25/05/2020,Female,70-120 years,E38000062,NHS Gloucestershire CCG,3
111,25/05/2020,Female,70-120 years,E38000079,NHS Herts Valleys CCG,3
111,25/05/2020,Female,70-120 years,E38000143,NHS Salford CCG,1
111,25/05/2020,Female,70-120 years,E38000150,NHS Somerset CCG,5
111,25/05/2020,Female,70-120 years,E38000167,NHS Southampton CCG,1
111,25/05/2020,Female,70-120 years,E38000176,NHS Sunderland CCG,2
111,25/05/2020,Female,70-120 years,E38000230,NHS Devon CCG,9
111,25/05/2020,Female,70-120 years,E38000246,NHS Surrey Heartlands CCG,6
111,25/05/2020,Male,0-18 years,E38000006,NHS Barnsley CCG,3
111,25/05/2020,Male,0-18 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",2
111,25/05/2020,Male,0-18 years,E38000086,NHS Ipswich and East Suffolk CCG,2
111,25/05/2020,Male,0-18 years,E38000101,NHS Liverpool CCG,3
111,25/05/2020,Male,0-18 years,E38000138,NHS Redbridge CCG,5
111,25/05/2020,Male,0-18 years,E38000147,NHS Shropshire CCG,1
111,25/05/2020,Male,0-18 years,E38000192,NHS Waltham Forest CCG,1
111,25/05/2020,Male,0-18 years,E38000232,NHS Bradford District and Craven CCG,5
111,25/05/2020,Male,0-18 years,E38000242,NHS Northamptonshire CCG,2
111,25/05/2020,Male,0-18 years,E38000244,NHS South East London CCG,12
111,25/05/2020,Male,19-69 years,E38000008,NHS Bassetlaw CCG,5
111,25/05/2020,Male,19-69 years,E38000045,NHS Dorset CCG,1
111,25/05/2020,Male,19-69 years,E38000048,NHS Ealing CCG,1
111,25/05/2020,Male,19-69 years,E38000051,NHS East Leicestershire and Rutland CCG,3
111,25/05/2020,Male,19-69 years,E38000052,NHS East Riding of Yorkshire CCG,2
111,25/05/2020,Male,19-69 years,E38000085,NHS Hull CCG,5
111,25/05/2020,Male,19-69 years,E38000144,NHS Sandwell and West Birmingham CCG,3
