SiteType,Call Date,Sex,AgeBand,CCGCode,CCGName,TriageCount
111,03/08/2020,Female,0-18 years,NULL,NULL,1
111,03/08/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,2
111,03/08/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,1
111,03/08/2020,Female,0-18 years,E38000045,NHS Dorset CCG,1
111,03/08/2020,Female,0-18 years,E38000046,NHS Dudley CCG,3
111,03/08/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,1
111,03/08/2020,Female,0-18 years,E38000074,NHS Harrow CCG,1
111,03/08/2020,Female,0-18 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",2
111,03/08/2020,Female,0-18 years,E38000089,NHS Kernow CCG,1
111,03/08/2020,Female,0-18 years,E38000091,NHS Knowsley CCG,1
111,03/08/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,1
111,03/08/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,1
111,03/08/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,1
111,03/08/2020,Female,0-18 years,E38000113,NHS Newham CCG,1
111,03/08/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,1
111,03/08/2020,Female,0-18 years,E38000127,NHS North Tyneside CCG,1
111,03/08/2020,Female,0-18 years,E38000137,NHS Portsmouth CCG,1
111,03/08/2020,Female,0-18 years,E38000147,NHS Shropshire CCG,1
111,03/08/2020,Female,0-18 years,E38000161,NHS South Sefton CCG,1
111,03/08/2020,Female,0-18 years,E38000164,NHS South Warwickshire CCG,1
111,03/08/2020,Female,0-18 years,E38000168,NHS Southend CCG,1
111,03/08/2020,Female,0-18 years,E38000175,NHS Stoke on Trent CCG,1
111,03/08/2020,Female,0-18 years,E38000183,NHS Telford and Wrekin CCG,1
111,03/08/2020,Female,0-18 years,E38000186,NHS Tower Hamlets CCG,2
111,03/08/2020,Female,0-18 years,E38000190,NHS Wakefield CCG,1
111,03/08/2020,Female,0-18 years,E38000195,NHS Warwickshire North CCG,1
111,03/08/2020,Female,0-18 years,E38000197,NHS West Essex CCG,1
111,03/08/2020,Female,0-18 years,E38000208,NHS Wirral CCG,1
111,03/08/2020,Female,0-18 years,E38000225,NHS Leeds CCG,1
111,03/08/2020,Female,0-18 years,E38000226,NHS Fylde and Wyre CCG,1
111,03/08/2020,Female,0-18 years,E38000229,NHS Derby and Derbyshire CCG,1
111,03/08/2020,Female,0-18 years,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",1
111,03/08/2020,Female,0-18 years,E38000232,NHS Bradford District and Craven CCG,2
111,03/08/2020,Female,0-18 years,E38000235,NHS East Sussex CCG,1
