SiteType,Call Date,Sex,AgeBand,CCGCode,CCGName,TriageCount
111,11/05/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,1
111,11/05/2020,Female,0-18 years,E38000035,NHS City and Hackney CCG,4
111,11/05/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,7
111,11/05/2020,Female,0-18 years,E38000064,NHS Greater Huddersfield CCG,3
111,11/05/2020,Female,0-18 years,E38000091,NHS Knowsley CCG,4
111,11/05/2020,Female,0-18 years,E38000113,NHS Newham CCG,1
111,11/05/2020,Female,0-18 years,E38000117,NHS North East Essex CCG,3
111,11/05/2020,Female,0-18 years,E38000121,NHS North Kirklees CCG,2
111,11/05/2020,Female,0-18 years,E38000136,NHS Oxfordshire CCG,12
111,11/05/2020,Female,0-18 years,E38000138,NHS Redbridge CCG,2
111,11/05/2020,Female,0-18 years,E38000146,NHS Sheffield CCG,7
111,11/05/2020,Female,0-18 years,E38000167,NHS Southampton CCG,1
111,11/05/2020,Female,0-18 years,E38000174,NHS Stockport CCG,2
111,11/05/2020,Female,0-18 years,E38000178,NHS Surrey Heath CCG,1
111,11/05/2020,Female,0-18 years,E38000210,NHS Wolverhampton CCG,1
111,11/05/2020,Female,0-18 years,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",15
111,11/05/2020,Female,0-18 years,E38000224,NHS East Berkshire CCG,5
111,11/05/2020,Female,0-18 years,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",10
111,11/05/2020,Female,0-18 years,E38000232,NHS Bradford District and Craven CCG,7
111,11/05/2020,Female,0-18 years,E38000240,NHS North Central London CCG,5
111,11/05/2020,Female,19-69 years,NULL,NULL,1
111,11/05/2020,Female,19-69 years,E38000030,NHS Castle Point and Rochford CCG,15
111,11/05/2020,Female,19-69 years,E38000048,NHS Ealing CCG,14
111,11/05/2020,Female,19-69 years,E38000070,NHS Hammersmith and Fulham CCG,7
111,11/05/2020,Female,19-69 years,E38000074,NHS Harrow CCG,6
111,11/05/2020,Female,19-69 years,E38000077,NHS Havering CCG,3
111,11/05/2020,Female,19-69 years,E38000079,NHS Herts Valleys CCG,22
111,11/05/2020,Female,19-69 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",12
111,11/05/2020,Female,19-69 years,E38000084,NHS Hounslow CCG,5
111,11/05/2020,Female,19-69 years,E38000087,NHS Isle of Wight CCG,17
111,11/05/2020,Female,19-69 years,E38000106,NHS Mid Essex CCG,25
111,11/05/2020,Female,19-69 years,E38000107,NHS Milton Keynes CCG,16
111,11/05/2020,Female,19-69 years,E38000119,NHS North East Lincolnshire CCG,7
111,11/05/2020,Female,19-69 years,E38000150,NHS Somerset CCG,21
111,11/05/2020,Female,19-69 years,E38000161,NHS South Sefton CCG,10
111,11/05/2020,Female,19-69 years,E38000187,NHS Trafford CCG,8
111,11/05/2020,Female,19-69 years,E38000192,NHS Waltham Forest CCG,10
111,11/05/2020,Female,19-69 years,E38000243,NHS Nottingham and Nottinghamshire CCG,37
111,11/05/2020,Female,70-120 years,E38000006,NHS Barnsley CCG,4
111,11/05/2020,Female,70-120 years,E38000025,NHS Calderdale CCG,1
111,11/05/2020,Female,70-120 years,E38000026,NHS Cambridgeshire and Peterborough CCG,3
111,11/05/2020,Female,70-120 years,E38000038,NHS Coventry and Rugby CCG,5
111,11/05/2020,Female,70-120 years,E38000086,NHS Ipswich and East Suffolk CCG,5
111,11/05/2020,Female,70-120 years,E38000117,NHS North East Essex CCG,1
111,11/05/2020,Female,70-120 years,E38000136,NHS Oxfordshire CCG,4
111,11/05/2020,Female,70-120 years,E38000138,NHS Redbridge CCG,1
111,11/05/2020,Female,70-120 years,E38000147,NHS Shropshire CCG,3
111,11/05/2020,Female,70-120 years,E38000154,NHS South Eastern Hampshire CCG,1
111,11/05/2020,Female,70-120 years,E38000174,NHS Stockport CCG,1
111,11/05/2020,Female,70-120 years,E38000188,NHS Vale of York CCG,4
111,11/05/2020,Female,70-120 years,E38000202,NHS West London CCG,2
111,11/05/2020,Female,70-120 years,E38000208,NHS Wirral CCG,2
111,11/05/2020,Female,70-120 years,E38000210,NHS Wolverhampton CCG,1
111,11/05/2020,Female,70-120 years,E38000212,NHS Newcastle Gateshead CCG,6
111,11/05/2020,Female,70-120 years,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",5
111,11/05/2020,Female,70-120 years,E38000224,NHS East Berkshire CCG,2
111,11/05/2020,Female,70-120 years,E38000233,NHS Cheshire CCG,9
111,11/05/2020,Female,70-120 years,E38000235,NHS East Sussex CCG,9
111,11/05/2020,Female,70-120 years,E38000240,NHS North Central London CCG,4
111,11/05/2020,Female,70-120 years,E38000241,NHS North Yorkshire CCG,2
111,11/05/2020,Female,70-120 years,E38000244,NHS South East London CCG,4
111,11/05/2020,Male,0-18 years,E38000004,NHS Barking and Dagenham CCG,1
111,11/05/2020,Male,0-18 years,E38000014,NHS Blackburn with Darwen CCG,4
111,11/05/2020,Male,0-18 years,E38000046,NHS Dudley CCG,4
111,11/05/2020,Male,0-18 years,E38000085,NHS Hull CCG,7
111,11/05/2020,Male,0-18 years,E38000089,NHS Kernow CCG,6
111,11/05/2020,Male,0-18 years,E38000127,NHS North Tyneside CCG,3
111,11/05/2020,Male,0-18 years,E38000172,NHS St Helens CCG,5
111,11/05/2020,Male,0-18 years,E38000182,NHS Tameside and Glossop CCG,6
111,11/05/2020,Male,0-18 years,E38000195,NHS Warwickshire North CCG,2
111,11/05/2020,Male,0-18 years,E38000215,NHS North Cumbria CCG,4
111,11/05/2020,Male,0-18 years,E38000238,NHS Lincolnshire CCG,11
111,11/05/2020,Male,0-18 years,E38000245,NHS South West London CCG,11
111,11/05/2020,Male,19-69 years,E38000006,NHS Barnsley CCG,11
111,11/05/2020,Male,19-69 years,E38000015,NHS Blackpool CCG,14
111,11/05/2020,Male,19-69 years,E38000038,NHS Coventry and Rugby CCG,13
111,11/05/2020,Male,19-69 years,E38000053,NHS East Staffordshire CCG,2
111,11/05/2020,Male,19-69 years,E38000059,NHS Fareham and Gosport CCG,4
111,11/05/2020,Male,19-69 years,E38000082,NHS Hillingdon CCG,1
111,11/05/2020,Male,19-69 years,E38000147,NHS Shropshire CCG,13
111,11/05/2020,Male,19-69 years,E38000154,NHS South Eastern Hampshire CCG,5
111,11/05/2020,Male,19-69 years,E38000183,NHS Telford and Wrekin CCG,10
111,11/05/2020,Male,19-69 years,E38000188,NHS Vale of York CCG,12
111,11/05/2020,Male,19-69 years,E38000205,NHS Wigan Borough CCG,12
111,11/05/2020,Male,19-69 years,E38000244,NHS South East London CCG,51
111,11/05/2020,Male,19-69 years,W11000031,NULL,1
111,11/05/2020,Male,70-120 years,E38000014,NHS Blackburn with Darwen CCG,1
111,11/05/2020,Male,70-120 years,E38000024,NHS Bury CCG,1
111,11/05/2020,Male,70-120 years,E38000028,NHS Cannock Chase CCG,1
111,11/05/2020,Male,70-120 years,E38000126,NHS North Staffordshire CCG,3
111,11/05/2020,Male,70-120 years,E38000146,NHS Sheffield CCG,2
111,11/05/2020,Male,70-120 years,E38000239,NHS Norfolk and Waveney CCG,7
111,11/05/2020,Male,70-120 years,E38000247,NHS Tees Valley CCG,2
999,11/05/2020,Female,19-69 years,E38000053,NHS East Staffordshire CCG,2
999,11/05/2020,Female,19-69 years,E38000059,NHS Fareham and Gosport CCG,2
999,11/05/2020,Female,19-69 years,E38000137,NHS Portsmouth CCG,1
999,11/05/2020,Female,19-69 years,E38000147,NHS Shropshire CCG,3
999,11/05/2020,Female,19-69 years,E38000183,NHS Telford and Wrekin CCG,3
999,11/05/2020,Female,19-69 years,E38000220,NHS Birmingham and Solihull CCG,10
999,11/05/2020,Female,70-120 years,E38000028,NHS Cannock Chase CCG,1
999,11/05/2020,Female,70-120 years,E38000247,NHS Tees Valley CCG,2
999,11/05/2020,Male,,E38000087,NHS Isle of Wight CCG,1
999,11/05/2020,Male,0-18 years,E38000173,NHS Stafford and Surrounds CCG,1
999,11/05/2020,Male,19-69 years,E38000167,NHS Southampton CCG,2
999,11/05/2020,Male,19-69 years,E38000175,NHS Stoke on Trent CCG,2
999,11/05/2020,Male,70-120 years,E38000107,NHS Milton Keynes CCG,2
999,11/05/2020,Male,70-120 years,E38000144,NHS Sandwell and West Birmingham CCG,1
999,11/05/2020,Male,70-120 years,E38000191,NHS Walsall CCG,2
111,11/05/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,2
111,11/05/2020,Female,0-18 years,E38000006,NHS Barnsley CCG,2
111,11/05/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,6
111,11/05/2020,Female,0-18 years,E38000028,NHS Cannock Chase CCG,2
111,11/05/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,3
111,11/05/2020,Female,0-18 years,E38000086,NHS Ipswich and East Suffolk CCG,8
111,11/05/2020,Female,0-18 years,E38000147,NHS Shropshire CCG,4
111,11/05/2020,Female,0-18 years,E38000183,NHS Telford and Wrekin CCG,2
111,11/05/2020,Female,0-18 years,E38000190,NHS Wakefield CCG,5
111,11/05/2020,Female,0-18 years,E38000194,NHS Warrington CCG,4
111,11/05/2020,Female,0-18 years,E38000201,NHS West Leicestershire CCG,8
111,11/05/2020,Female,0-18 years,E38000205,NHS Wigan Borough CCG,7
111,11/05/2020,Female,0-18 years,E38000212,NHS Newcastle Gateshead CCG,4
111,11/05/2020,Female,0-18 years,E38000226,NHS Fylde and Wyre CCG,5
111,11/05/2020,Female,0-18 years,E38000244,NHS South East London CCG,14
111,11/05/2020,Female,0-18 years,E38000247,NHS Tees Valley CCG,10
111,11/05/2020,Female,19-69 years,E38000015,NHS Blackpool CCG,10
111,11/05/2020,Female,19-69 years,E38000016,NHS Bolton CCG,16
111,11/05/2020,Female,19-69 years,E38000045,NHS Dorset CCG,29
111,11/05/2020,Female,19-69 years,E38000051,NHS East Leicestershire and Rutland CCG,19
111,11/05/2020,Female,19-69 years,E38000052,NHS East Riding of Yorkshire CCG,17
111,11/05/2020,Female,19-69 years,E38000053,NHS East Staffordshire CCG,4
111,11/05/2020,Female,19-69 years,E38000085,NHS Hull CCG,13
111,11/05/2020,Female,19-69 years,E38000144,NHS Sandwell and West Birmingham CCG,19
111,11/05/2020,Female,19-69 years,E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,7
111,11/05/2020,Female,19-69 years,E38000163,NHS South Tyneside CCG,7
