SiteType,Call Date,Sex,AgeBand,CCGCode,CCGName,TriageCount
111,07/09/2020,Female,,E38000234,NHS County Durham CCG,1
111,07/09/2020,Female,,E38000247,NHS Tees Valley CCG,1
111,07/09/2020,Female,0-18 years,NULL,NULL,1
111,07/09/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,2
111,07/09/2020,Female,0-18 years,E38000006,NHS Barnsley CCG,8
111,07/09/2020,Female,0-18 years,E38000007,NHS Basildon and Brentwood CCG,14
111,07/09/2020,Female,0-18 years,E38000008,NHS Bassetlaw CCG,2
111,07/09/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,1
111,07/09/2020,Female,0-18 years,E38000014,NHS Blackburn with Darwen CCG,1
111,07/09/2020,Female,0-18 years,E38000015,NHS Blackpool CCG,5
111,07/09/2020,Female,0-18 years,E38000016,NHS Bolton CCG,5
111,07/09/2020,Female,0-18 years,E38000020,NHS Brent CCG,1
111,07/09/2020,Female,0-18 years,E38000021,NHS Brighton and Hove CCG,2
111,07/09/2020,Female,0-18 years,E38000024,NHS Bury CCG,2
111,07/09/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,7
111,07/09/2020,Female,0-18 years,E38000028,NHS Cannock Chase CCG,2
111,07/09/2020,Female,0-18 years,E38000030,NHS Castle Point and Rochford CCG,3
111,07/09/2020,Female,0-18 years,E38000031,NHS Central London (Westminster) CCG,2
111,07/09/2020,Female,0-18 years,E38000034,NHS Chorley and South Ribble CCG,4
111,07/09/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,10
111,07/09/2020,Female,0-18 years,E38000044,NHS Doncaster CCG,9
111,07/09/2020,Female,0-18 years,E38000045,NHS Dorset CCG,2
111,07/09/2020,Female,0-18 years,E38000046,NHS Dudley CCG,15
111,07/09/2020,Female,0-18 years,E38000048,NHS Ealing CCG,1
111,07/09/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,5
111,07/09/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,4
111,07/09/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,11
111,07/09/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,4
111,07/09/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,2
111,07/09/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,18
111,07/09/2020,Female,0-18 years,E38000068,NHS Halton CCG,4
111,07/09/2020,Female,0-18 years,E38000070,NHS Hammersmith and Fulham CCG,1
111,07/09/2020,Female,0-18 years,E38000074,NHS Harrow CCG,3
111,07/09/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,9
111,07/09/2020,Female,0-18 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",3
111,07/09/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,1
111,07/09/2020,Female,0-18 years,E38000084,NHS Hounslow CCG,2
111,07/09/2020,Female,0-18 years,E38000086,NHS Ipswich and East Suffolk CCG,3
111,07/09/2020,Female,0-18 years,E38000087,NHS Isle of Wight CCG,12
111,07/09/2020,Female,0-18 years,E38000089,NHS Kernow CCG,2
111,07/09/2020,Female,0-18 years,E38000091,NHS Knowsley CCG,7
111,07/09/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,4
111,07/09/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,13
111,07/09/2020,Female,0-18 years,E38000102,NHS Luton CCG,3
111,07/09/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,11
111,07/09/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,2
111,07/09/2020,Female,0-18 years,E38000113,NHS Newham CCG,3
111,07/09/2020,Female,0-18 years,E38000117,NHS North East Essex CCG,7
111,07/09/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,4
111,07/09/2020,Female,0-18 years,E38000119,NHS North East Lincolnshire CCG,3
111,07/09/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,3
111,07/09/2020,Female,0-18 years,E38000122,NHS North Lincolnshire CCG,2
111,07/09/2020,Female,0-18 years,E38000126,NHS North Staffordshire CCG,8
111,07/09/2020,Female,0-18 years,E38000127,NHS North Tyneside CCG,4
111,07/09/2020,Female,0-18 years,E38000130,NHS Northumberland CCG,9
111,07/09/2020,Female,0-18 years,E38000135,NHS Oldham CCG,4
111,07/09/2020,Female,0-18 years,E38000136,NHS Oxfordshire CCG,14
111,07/09/2020,Female,0-18 years,E38000137,NHS Portsmouth CCG,3
111,07/09/2020,Female,0-18 years,E38000138,NHS Redbridge CCG,2
111,07/09/2020,Female,0-18 years,E38000141,NHS Rotherham CCG,8
111,07/09/2020,Female,0-18 years,E38000143,NHS Salford CCG,1
111,07/09/2020,Female,0-18 years,E38000144,NHS Sandwell and West Birmingham CCG,12
111,07/09/2020,Female,0-18 years,E38000146,NHS Sheffield CCG,14
111,07/09/2020,Female,0-18 years,E38000147,NHS Shropshire CCG,4
111,07/09/2020,Female,0-18 years,E38000150,NHS Somerset CCG,7
111,07/09/2020,Female,0-18 years,E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,6
111,07/09/2020,Female,0-18 years,E38000161,NHS South Sefton CCG,1
111,07/09/2020,Female,0-18 years,E38000164,NHS South Warwickshire CCG,4
111,07/09/2020,Female,0-18 years,E38000167,NHS Southampton CCG,6
111,07/09/2020,Female,0-18 years,E38000170,NHS Southport and Formby CCG,1
111,07/09/2020,Female,0-18 years,E38000172,NHS St Helens CCG,3
111,07/09/2020,Female,0-18 years,E38000173,NHS Stafford and Surrounds CCG,2
111,07/09/2020,Female,0-18 years,E38000174,NHS Stockport CCG,2
111,07/09/2020,Female,0-18 years,E38000175,NHS Stoke on Trent CCG,8
111,07/09/2020,Female,0-18 years,E38000176,NHS Sunderland CCG,19
111,07/09/2020,Female,0-18 years,E38000178,NHS Surrey Heath CCG,1
111,07/09/2020,Female,0-18 years,E38000182,NHS Tameside and Glossop CCG,3
111,07/09/2020,Female,0-18 years,E38000183,NHS Telford and Wrekin CCG,1
111,07/09/2020,Female,0-18 years,E38000185,NHS Thurrock CCG,4
111,07/09/2020,Female,0-18 years,E38000186,NHS Tower Hamlets CCG,1
111,07/09/2020,Female,0-18 years,E38000187,NHS Trafford CCG,2
111,07/09/2020,Female,0-18 years,E38000188,NHS Vale of York CCG,1
111,07/09/2020,Female,0-18 years,E38000190,NHS Wakefield CCG,3
111,07/09/2020,Female,0-18 years,E38000191,NHS Walsall CCG,5
111,07/09/2020,Female,0-18 years,E38000192,NHS Waltham Forest CCG,7
111,07/09/2020,Female,0-18 years,E38000194,NHS Warrington CCG,4
111,07/09/2020,Female,0-18 years,E38000195,NHS Warwickshire North CCG,4
111,07/09/2020,Female,0-18 years,E38000197,NHS West Essex CCG,5
111,07/09/2020,Female,0-18 years,E38000198,NHS West Hampshire CCG,7
111,07/09/2020,Female,0-18 years,E38000201,NHS West Leicestershire CCG,21
111,07/09/2020,Female,0-18 years,E38000202,NHS West London CCG,1
111,07/09/2020,Female,0-18 years,E38000204,NHS West Suffolk CCG,4
111,07/09/2020,Female,0-18 years,E38000205,NHS Wigan Borough CCG,3
111,07/09/2020,Female,0-18 years,E38000208,NHS Wirral CCG,4
111,07/09/2020,Female,0-18 years,E38000210,NHS Wolverhampton CCG,4
111,07/09/2020,Female,0-18 years,E38000212,NHS Newcastle Gateshead CCG,5
111,07/09/2020,Female,0-18 years,E38000215,NHS North Cumbria CCG,7
111,07/09/2020,Female,0-18 years,E38000217,NHS Manchester CCG,8
111,07/09/2020,Female,0-18 years,E38000220,NHS Birmingham and Solihull CCG,21
111,07/09/2020,Female,0-18 years,E38000221,NHS Berkshire West CCG,18
111,07/09/2020,Female,0-18 years,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",12
111,07/09/2020,Female,0-18 years,E38000223,NHS Buckinghamshire CCG,11
111,07/09/2020,Female,0-18 years,E38000224,NHS East Berkshire CCG,8
111,07/09/2020,Female,0-18 years,E38000225,NHS Leeds CCG,3
111,07/09/2020,Female,0-18 years,E38000226,NHS Fylde and Wyre CCG,4
111,07/09/2020,Female,0-18 years,E38000227,NHS Greater Preston CCG,5
111,07/09/2020,Female,0-18 years,E38000228,NHS Morecambe Bay CCG,4
111,07/09/2020,Female,0-18 years,E38000229,NHS Derby and Derbyshire CCG,18
111,07/09/2020,Female,0-18 years,E38000230,NHS Devon CCG,12
111,07/09/2020,Female,0-18 years,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",22
111,07/09/2020,Female,0-18 years,E38000232,NHS Bradford District and Craven CCG,6
111,07/09/2020,Female,0-18 years,E38000233,NHS Cheshire CCG,14
111,07/09/2020,Female,0-18 years,E38000234,NHS County Durham CCG,22
111,07/09/2020,Female,0-18 years,E38000235,NHS East Sussex CCG,6
111,07/09/2020,Female,0-18 years,E38000236,NHS Herefordshire and Worcestershire CCG,11
111,07/09/2020,Female,0-18 years,E38000237,NHS Kent and Medway CCG,29
111,07/09/2020,Female,0-18 years,E38000238,NHS Lincolnshire CCG,14
111,07/09/2020,Female,0-18 years,E38000239,NHS Norfolk and Waveney CCG,12
111,07/09/2020,Female,0-18 years,E38000240,NHS North Central London CCG,12
111,07/09/2020,Female,0-18 years,E38000242,NHS Northamptonshire CCG,14
111,07/09/2020,Female,0-18 years,E38000243,NHS Nottingham and Nottinghamshire CCG,17
111,07/09/2020,Female,0-18 years,E38000244,NHS South East London CCG,14
111,07/09/2020,Female,0-18 years,E38000245,NHS South West London CCG,17
111,07/09/2020,Female,0-18 years,E38000246,NHS Surrey Heartlands CCG,10
111,07/09/2020,Female,0-18 years,E38000247,NHS Tees Valley CCG,13
111,07/09/2020,Female,0-18 years,E38000248,NHS West Sussex CCG,3
111,07/09/2020,Female,19-69 years,NULL,NULL,2
111,07/09/2020,Female,19-69 years,E38000004,NHS Barking and Dagenham CCG,5
111,07/09/2020,Female,19-69 years,E38000006,NHS Barnsley CCG,7
111,07/09/2020,Female,19-69 years,E38000007,NHS Basildon and Brentwood CCG,5
111,07/09/2020,Female,19-69 years,E38000008,NHS Bassetlaw CCG,6
111,07/09/2020,Female,19-69 years,E38000010,NHS Bedfordshire CCG,4
111,07/09/2020,Female,19-69 years,E38000014,NHS Blackburn with Darwen CCG,4
111,07/09/2020,Female,19-69 years,E38000015,NHS Blackpool CCG,4
111,07/09/2020,Female,19-69 years,E38000016,NHS Bolton CCG,5
111,07/09/2020,Female,19-69 years,E38000020,NHS Brent CCG,3
111,07/09/2020,Female,19-69 years,E38000021,NHS Brighton and Hove CCG,6
111,07/09/2020,Female,19-69 years,E38000024,NHS Bury CCG,1
111,07/09/2020,Female,19-69 years,E38000025,NHS Calderdale CCG,4
111,07/09/2020,Female,19-69 years,E38000026,NHS Cambridgeshire and Peterborough CCG,12
111,07/09/2020,Female,19-69 years,E38000028,NHS Cannock Chase CCG,2
111,07/09/2020,Female,19-69 years,E38000030,NHS Castle Point and Rochford CCG,6
111,07/09/2020,Female,19-69 years,E38000031,NHS Central London (Westminster) CCG,5
111,07/09/2020,Female,19-69 years,E38000035,NHS City and Hackney CCG,5
111,07/09/2020,Female,19-69 years,E38000038,NHS Coventry and Rugby CCG,12
111,07/09/2020,Female,19-69 years,E38000044,NHS Doncaster CCG,12
111,07/09/2020,Female,19-69 years,E38000045,NHS Dorset CCG,12
111,07/09/2020,Female,19-69 years,E38000046,NHS Dudley CCG,9
111,07/09/2020,Female,19-69 years,E38000048,NHS Ealing CCG,4
111,07/09/2020,Female,19-69 years,E38000049,NHS East and North Hertfordshire CCG,7
111,07/09/2020,Female,19-69 years,E38000050,NHS East Lancashire CCG,5
111,07/09/2020,Female,19-69 years,E38000051,NHS East Leicestershire and Rutland CCG,8
111,07/09/2020,Female,19-69 years,E38000052,NHS East Riding of Yorkshire CCG,7
111,07/09/2020,Female,19-69 years,E38000053,NHS East Staffordshire CCG,3
111,07/09/2020,Female,19-69 years,E38000059,NHS Fareham and Gosport CCG,4
111,07/09/2020,Female,19-69 years,E38000062,NHS Gloucestershire CCG,18
111,07/09/2020,Female,19-69 years,E38000064,NHS Greater Huddersfield CCG,9
111,07/09/2020,Female,19-69 years,E38000068,NHS Halton CCG,4
111,07/09/2020,Female,19-69 years,E38000070,NHS Hammersmith and Fulham CCG,3
111,07/09/2020,Female,19-69 years,E38000074,NHS Harrow CCG,3
111,07/09/2020,Female,19-69 years,E38000077,NHS Havering CCG,3
111,07/09/2020,Female,19-69 years,E38000079,NHS Herts Valleys CCG,6
111,07/09/2020,Female,19-69 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",1
111,07/09/2020,Female,19-69 years,E38000082,NHS Hillingdon CCG,5
111,07/09/2020,Female,19-69 years,E38000084,NHS Hounslow CCG,4
111,07/09/2020,Female,19-69 years,E38000085,NHS Hull CCG,10
111,07/09/2020,Female,19-69 years,E38000086,NHS Ipswich and East Suffolk CCG,9
111,07/09/2020,Female,19-69 years,E38000087,NHS Isle of Wight CCG,4
111,07/09/2020,Female,19-69 years,E38000089,NHS Kernow CCG,7
111,07/09/2020,Female,19-69 years,E38000091,NHS Knowsley CCG,3
111,07/09/2020,Female,19-69 years,E38000097,NHS Leicester City CCG,11
111,07/09/2020,Female,19-69 years,E38000101,NHS Liverpool CCG,6
111,07/09/2020,Female,19-69 years,E38000102,NHS Luton CCG,7
111,07/09/2020,Female,19-69 years,E38000106,NHS Mid Essex CCG,11
111,07/09/2020,Female,19-69 years,E38000107,NHS Milton Keynes CCG,16
111,07/09/2020,Female,19-69 years,E38000113,NHS Newham CCG,10
111,07/09/2020,Female,19-69 years,E38000117,NHS North East Essex CCG,13
111,07/09/2020,Female,19-69 years,E38000118,NHS North East Hampshire and Farnham CCG,4
111,07/09/2020,Female,19-69 years,E38000119,NHS North East Lincolnshire CCG,6
