journeydate,sex,ageband,ccgcode,ccgname,Total
17/08/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,5
17/08/2020,Female,0-18 years,E38000015,NHS Blackpool CCG,2
17/08/2020,Female,0-18 years,E38000020,NHS Brent CCG,2
17/08/2020,Female,0-18 years,E38000024,NHS Bury CCG,1
17/08/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,7
17/08/2020,Female,0-18 years,E38000030,NHS Castle Point and Rochford CCG,1
17/08/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,1
17/08/2020,Female,0-18 years,E38000045,NHS Dorset CCG,2
17/08/2020,Female,0-18 years,E38000048,NHS Ealing CCG,1
17/08/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,2
17/08/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,1
17/08/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,2
17/08/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,3
17/08/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,6
17/08/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,4
17/08/2020,Female,0-18 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",1
17/08/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,1
17/08/2020,Female,0-18 years,E38000084,NHS Hounslow CCG,3
17/08/2020,Female,0-18 years,E38000085,NHS Hull CCG,2
17/08/2020,Female,0-18 years,E38000087,NHS Isle of Wight CCG,1
17/08/2020,Female,0-18 years,E38000089,NHS Kernow CCG,3
17/08/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,2
17/08/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,3
17/08/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,1
17/08/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,5
17/08/2020,Female,0-18 years,E38000117,NHS North East Essex CCG,1
17/08/2020,Female,0-18 years,E38000119,NHS North East Lincolnshire CCG,2
17/08/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,2
17/08/2020,Female,0-18 years,E38000121,NHS North Kirklees CCG,1
17/08/2020,Female,0-18 years,E38000122,NHS North Lincolnshire CCG,1
17/08/2020,Female,0-18 years,E38000126,NHS North Staffordshire CCG,1
17/08/2020,Female,0-18 years,E38000127,NHS North Tyneside CCG,3
17/08/2020,Female,0-18 years,E38000130,NHS Northumberland CCG,2
17/08/2020,Female,0-18 years,E38000136,NHS Oxfordshire CCG,2
17/08/2020,Female,0-18 years,E38000137,NHS Portsmouth CCG,1
17/08/2020,Female,0-18 years,E38000138,NHS Redbridge CCG,1
17/08/2020,Female,0-18 years,E38000141,NHS Rotherham CCG,1
17/08/2020,Female,0-18 years,E38000143,NHS Salford CCG,1
17/08/2020,Female,0-18 years,E38000144,NHS Sandwell and West Birmingham CCG,1
17/08/2020,Female,0-18 years,E38000146,NHS Sheffield CCG,1
17/08/2020,Female,0-18 years,E38000150,NHS Somerset CCG,2
17/08/2020,Female,0-18 years,E38000154,NHS South Eastern Hampshire CCG,2
17/08/2020,Female,0-18 years,E38000163,NHS South Tyneside CCG,2
17/08/2020,Female,0-18 years,E38000164,NHS South Warwickshire CCG,1
17/08/2020,Female,0-18 years,E38000167,NHS Southampton CCG,4
17/08/2020,Female,0-18 years,E38000168,NHS Southend CCG,4
17/08/2020,Female,0-18 years,E38000172,NHS St Helens CCG,1
17/08/2020,Female,0-18 years,E38000173,NHS Stafford and Surrounds CCG,4
17/08/2020,Female,0-18 years,E38000178,NHS Surrey Heath CCG,1
17/08/2020,Female,0-18 years,E38000182,NHS Tameside and Glossop CCG,2
17/08/2020,Female,0-18 years,E38000183,NHS Telford and Wrekin CCG,1
17/08/2020,Female,0-18 years,E38000185,NHS Thurrock CCG,1
17/08/2020,Female,0-18 years,E38000187,NHS Trafford CCG,1
17/08/2020,Female,0-18 years,E38000190,NHS Wakefield CCG,2
17/08/2020,Female,0-18 years,E38000191,NHS Walsall CCG,2
17/08/2020,Female,0-18 years,E38000195,NHS Warwickshire North CCG,1
17/08/2020,Female,0-18 years,E38000197,NHS West Essex CCG,2
17/08/2020,Female,0-18 years,E38000198,NHS West Hampshire CCG,2
17/08/2020,Female,0-18 years,E38000201,NHS West Leicestershire CCG,2
17/08/2020,Female,0-18 years,E38000202,NHS West London CCG,1
17/08/2020,Female,0-18 years,E38000208,NHS Wirral CCG,2
17/08/2020,Female,0-18 years,E38000210,NHS Wolverhampton CCG,5
17/08/2020,Female,0-18 years,E38000212,NHS Newcastle Gateshead CCG,2
17/08/2020,Female,0-18 years,E38000215,NHS North Cumbria CCG,3
17/08/2020,Female,0-18 years,E38000217,NHS Manchester CCG,1
17/08/2020,Female,0-18 years,E38000220,NHS Birmingham and Solihull CCG,3
17/08/2020,Female,0-18 years,E38000221,NHS Berkshire West CCG,1
17/08/2020,Female,0-18 years,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",5
17/08/2020,Female,0-18 years,E38000223,NHS Buckinghamshire CCG,4
17/08/2020,Female,0-18 years,E38000225,NHS Leeds CCG,4
17/08/2020,Female,0-18 years,E38000227,NHS Greater Preston CCG,1
17/08/2020,Female,0-18 years,E38000228,NHS Morecambe Bay CCG,2
17/08/2020,Female,0-18 years,E38000229,NHS Derby and Derbyshire CCG,5
17/08/2020,Female,0-18 years,E38000230,NHS Devon CCG,6
17/08/2020,Female,0-18 years,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",6
17/08/2020,Female,0-18 years,E38000232,NHS Bradford District and Craven CCG,8
17/08/2020,Female,0-18 years,E38000233,NHS Cheshire CCG,7
17/08/2020,Female,0-18 years,E38000234,NHS County Durham CCG,3
17/08/2020,Female,0-18 years,E38000236,NHS Herefordshire and Worcestershire CCG,3
17/08/2020,Female,0-18 years,E38000237,NHS Kent and Medway CCG,5
17/08/2020,Female,0-18 years,E38000238,NHS Lincolnshire CCG,3
17/08/2020,Female,0-18 years,E38000239,NHS Norfolk and Waveney CCG,12
17/08/2020,Female,0-18 years,E38000240,NHS North Central London CCG,3
17/08/2020,Female,0-18 years,E38000241,NHS North Yorkshire CCG,3
17/08/2020,Female,0-18 years,E38000242,NHS Northamptonshire CCG,5
17/08/2020,Female,0-18 years,E38000243,NHS Nottingham and Nottinghamshire CCG,1
17/08/2020,Female,0-18 years,E38000244,NHS South East London CCG,7
17/08/2020,Female,0-18 years,E38000245,NHS South West London CCG,12
17/08/2020,Female,0-18 years,E38000246,NHS Surrey Heartlands CCG,6
17/08/2020,Female,0-18 years,E38000247,NHS Tees Valley CCG,4
17/08/2020,Female,0-18 years,E38000248,NHS West Sussex CCG,2
17/08/2020,Female,19-69 years,E38000004,NHS Barking and Dagenham CCG,3
17/08/2020,Female,19-69 years,E38000006,NHS Barnsley CCG,11
17/08/2020,Female,19-69 years,E38000007,NHS Basildon and Brentwood CCG,4
17/08/2020,Female,19-69 years,E38000008,NHS Bassetlaw CCG,4
17/08/2020,Female,19-69 years,E38000010,NHS Bedfordshire CCG,13
17/08/2020,Female,19-69 years,E38000014,NHS Blackburn with Darwen CCG,3
17/08/2020,Female,19-69 years,E38000015,NHS Blackpool CCG,9
17/08/2020,Female,19-69 years,E38000016,NHS Bolton CCG,17
17/08/2020,Female,19-69 years,E38000020,NHS Brent CCG,4
17/08/2020,Female,19-69 years,E38000021,NHS Brighton and Hove CCG,10
17/08/2020,Female,19-69 years,E38000024,NHS Bury CCG,8
17/08/2020,Female,19-69 years,E38000025,NHS Calderdale CCG,8
17/08/2020,Female,19-69 years,E38000026,NHS Cambridgeshire and Peterborough CCG,28
17/08/2020,Female,19-69 years,E38000028,NHS Cannock Chase CCG,2
17/08/2020,Female,19-69 years,E38000030,NHS Castle Point and Rochford CCG,7
17/08/2020,Female,19-69 years,E38000031,NHS Central London (Westminster) CCG,5
17/08/2020,Female,19-69 years,E38000034,NHS Chorley and South Ribble CCG,5
17/08/2020,Female,19-69 years,E38000035,NHS City and Hackney CCG,11
17/08/2020,Female,19-69 years,E38000038,NHS Coventry and Rugby CCG,21
17/08/2020,Female,19-69 years,E38000044,NHS Doncaster CCG,12
17/08/2020,Female,19-69 years,E38000045,NHS Dorset CCG,17
17/08/2020,Female,19-69 years,E38000046,NHS Dudley CCG,12
17/08/2020,Female,19-69 years,E38000048,NHS Ealing CCG,9
17/08/2020,Female,19-69 years,E38000049,NHS East and North Hertfordshire CCG,8
17/08/2020,Female,19-69 years,E38000050,NHS East Lancashire CCG,17
17/08/2020,Female,19-69 years,E38000051,NHS East Leicestershire and Rutland CCG,10
17/08/2020,Female,19-69 years,E38000052,NHS East Riding of Yorkshire CCG,5
17/08/2020,Female,19-69 years,E38000053,NHS East Staffordshire CCG,6
17/08/2020,Female,19-69 years,E38000059,NHS Fareham and Gosport CCG,6
17/08/2020,Female,19-69 years,E38000062,NHS Gloucestershire CCG,16
17/08/2020,Female,19-69 years,E38000064,NHS Greater Huddersfield CCG,13
17/08/2020,Female,19-69 years,E38000068,NHS Halton CCG,8
17/08/2020,Female,19-69 years,E38000070,NHS Hammersmith and Fulham CCG,4
17/08/2020,Female,19-69 years,E38000074,NHS Harrow CCG,4
17/08/2020,Female,19-69 years,E38000077,NHS Havering CCG,9
17/08/2020,Female,19-69 years,E38000079,NHS Herts Valleys CCG,10
17/08/2020,Female,19-69 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",10
17/08/2020,Female,19-69 years,E38000082,NHS Hillingdon CCG,7
17/08/2020,Female,19-69 years,E38000084,NHS Hounslow CCG,5
17/08/2020,Female,19-69 years,E38000085,NHS Hull CCG,7
17/08/2020,Female,19-69 years,E38000086,NHS Ipswich and East Suffolk CCG,7
17/08/2020,Female,19-69 years,E38000087,NHS Isle of Wight CCG,5
17/08/2020,Female,19-69 years,E38000089,NHS Kernow CCG,16
17/08/2020,Female,19-69 years,E38000091,NHS Knowsley CCG,10
