journeydate,sex,ageband,ccgcode,ccgname,Total
20/07/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,1
20/07/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,2
20/07/2020,Female,0-18 years,E38000015,NHS Blackpool CCG,1
20/07/2020,Female,0-18 years,E38000016,NHS Bolton CCG,2
20/07/2020,Female,0-18 years,E38000020,NHS Brent CCG,1
20/07/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,3
20/07/2020,Female,0-18 years,E38000030,NHS Castle Point and Rochford CCG,3
20/07/2020,Female,0-18 years,E38000031,NHS Central London (Westminster) CCG,1
20/07/2020,Female,0-18 years,E38000034,NHS Chorley and South Ribble CCG,1
20/07/2020,Female,0-18 years,E38000035,NHS City and Hackney CCG,2
20/07/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,1
20/07/2020,Female,0-18 years,E38000044,NHS Doncaster CCG,3
20/07/2020,Female,0-18 years,E38000045,NHS Dorset CCG,1
20/07/2020,Female,0-18 years,E38000048,NHS Ealing CCG,1
20/07/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,5
20/07/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,2
20/07/2020,Female,0-18 years,E38000053,NHS East Staffordshire CCG,1
20/07/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,3
20/07/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,2
20/07/2020,Female,0-18 years,E38000068,NHS Halton CCG,2
20/07/2020,Female,0-18 years,E38000077,NHS Havering CCG,2
20/07/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,3
20/07/2020,Female,0-18 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",1
20/07/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,3
20/07/2020,Female,0-18 years,E38000086,NHS Ipswich and East Suffolk CCG,1
20/07/2020,Female,0-18 years,E38000091,NHS Knowsley CCG,1
20/07/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,1
20/07/2020,Female,0-18 years,E38000102,NHS Luton CCG,2
20/07/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,1
20/07/2020,Female,0-18 years,E38000113,NHS Newham CCG,1
20/07/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,1
20/07/2020,Female,0-18 years,E38000126,NHS North Staffordshire CCG,1
20/07/2020,Female,0-18 years,E38000135,NHS Oldham CCG,2
20/07/2020,Female,0-18 years,E38000136,NHS Oxfordshire CCG,2
