journeydate,sex,ageband,ccgcode,ccgname,Total
03/08/2020,Female,0-18 years,E38000008,NHS Bassetlaw CCG,2
03/08/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,8
03/08/2020,Female,0-18 years,E38000016,NHS Bolton CCG,4
03/08/2020,Female,0-18 years,E38000020,NHS Brent CCG,1
03/08/2020,Female,0-18 years,E38000024,NHS Bury CCG,3
03/08/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,3
03/08/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,2
03/08/2020,Female,0-18 years,E38000028,NHS Cannock Chase CCG,1
03/08/2020,Female,0-18 years,E38000030,NHS Castle Point and Rochford CCG,2
03/08/2020,Female,0-18 years,E38000035,NHS City and Hackney CCG,1
03/08/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,1
03/08/2020,Female,0-18 years,E38000045,NHS Dorset CCG,3
03/08/2020,Female,0-18 years,E38000046,NHS Dudley CCG,2
03/08/2020,Female,0-18 years,E38000048,NHS Ealing CCG,1
03/08/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,2
03/08/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,1
03/08/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,3
03/08/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,2
03/08/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,1
03/08/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,4
03/08/2020,Female,0-18 years,E38000074,NHS Harrow CCG,2
03/08/2020,Female,0-18 years,E38000077,NHS Havering CCG,2
03/08/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,3
03/08/2020,Female,0-18 years,E38000080,"NHS Heywood, Middleton and Rochdale CCG",1
03/08/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,1
03/08/2020,Female,0-18 years,E38000084,NHS Hounslow CCG,2
03/08/2020,Female,0-18 years,E38000085,NHS Hull CCG,1
03/08/2020,Female,0-18 years,E38000089,NHS Kernow CCG,1
03/08/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,1
03/08/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,4
03/08/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,3
03/08/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,2
03/08/2020,Female,0-18 years,E38000117,NHS North East Essex CCG,3
03/08/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,3
03/08/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,1
03/08/2020,Female,0-18 years,E38000121,NHS North Kirklees CCG,2
03/08/2020,Female,0-18 years,E38000130,NHS Northumberland CCG,1
03/08/2020,Female,0-18 years,E38000135,NHS Oldham CCG,1
03/08/2020,Female,0-18 years,E38000136,NHS Oxfordshire CCG,3
03/08/2020,Female,0-18 years,E38000137,NHS Portsmouth CCG,1
03/08/2020,Female,0-18 years,E38000141,NHS Rotherham CCG,4
03/08/2020,Female,0-18 years,E38000143,NHS Salford CCG,2
03/08/2020,Female,0-18 years,E38000144,NHS Sandwell and West Birmingham CCG,1
03/08/2020,Female,0-18 years,E38000147,NHS Shropshire CCG,2
03/08/2020,Female,0-18 years,E38000150,NHS Somerset CCG,4
03/08/2020,Female,0-18 years,E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,1
03/08/2020,Female,0-18 years,E38000161,NHS South Sefton CCG,2
03/08/2020,Female,0-18 years,E38000164,NHS South Warwickshire CCG,1
03/08/2020,Female,0-18 years,E38000167,NHS Southampton CCG,1
03/08/2020,Female,0-18 years,E38000168,NHS Southend CCG,3
03/08/2020,Female,0-18 years,E38000173,NHS Stafford and Surrounds CCG,2
03/08/2020,Female,0-18 years,E38000174,NHS Stockport CCG,3
03/08/2020,Female,0-18 years,E38000175,NHS Stoke on Trent CCG,2
03/08/2020,Female,0-18 years,E38000178,NHS Surrey Heath CCG,3
03/08/2020,Female,0-18 years,E38000182,NHS Tameside and Glossop CCG,3
03/08/2020,Female,0-18 years,E38000185,NHS Thurrock CCG,1
03/08/2020,Female,0-18 years,E38000187,NHS Trafford CCG,5
03/08/2020,Female,0-18 years,E38000188,NHS Vale of York CCG,1
03/08/2020,Female,0-18 years,E38000190,NHS Wakefield CCG,1
03/08/2020,Female,0-18 years,E38000191,NHS Walsall CCG,1
03/08/2020,Female,0-18 years,E38000192,NHS Waltham Forest CCG,1
03/08/2020,Female,0-18 years,E38000194,NHS Warrington CCG,1
03/08/2020,Female,0-18 years,E38000195,NHS Warwickshire North CCG,2
03/08/2020,Female,0-18 years,E38000212,NHS Newcastle Gateshead CCG,3
03/08/2020,Female,0-18 years,E38000217,NHS Manchester CCG,2
03/08/2020,Female,0-18 years,E38000220,NHS Birmingham and Solihull CCG,5
03/08/2020,Female,0-18 years,E38000221,NHS Berkshire West CCG,1
03/08/2020,Female,0-18 years,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",8
03/08/2020,Female,0-18 years,E38000224,NHS East Berkshire CCG,1
03/08/2020,Female,0-18 years,E38000225,NHS Leeds CCG,2
03/08/2020,Female,0-18 years,E38000227,NHS Greater Preston CCG,3
03/08/2020,Female,0-18 years,E38000228,NHS Morecambe Bay CCG,1
03/08/2020,Female,0-18 years,E38000229,NHS Derby and Derbyshire CCG,8
03/08/2020,Female,0-18 years,E38000230,NHS Devon CCG,6
03/08/2020,Female,0-18 years,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",6
03/08/2020,Female,0-18 years,E38000232,NHS Bradford District and Craven CCG,1
03/08/2020,Female,0-18 years,E38000233,NHS Cheshire CCG,4
03/08/2020,Female,0-18 years,E38000234,NHS County Durham CCG,8
03/08/2020,Female,0-18 years,E38000236,NHS Herefordshire and Worcestershire CCG,2
03/08/2020,Female,0-18 years,E38000237,NHS Kent and Medway CCG,11
03/08/2020,Female,0-18 years,E38000238,NHS Lincolnshire CCG,3
03/08/2020,Female,0-18 years,E38000239,NHS Norfolk and Waveney CCG,5
03/08/2020,Female,0-18 years,E38000240,NHS North Central London CCG,2
03/08/2020,Female,0-18 years,E38000241,NHS North Yorkshire CCG,1
03/08/2020,Female,0-18 years,E38000242,NHS Northamptonshire CCG,8
03/08/2020,Female,0-18 years,E38000243,NHS Nottingham and Nottinghamshire CCG,7
