journeydate,sex,ageband,ccgcode,ccgname,Total
27/07/2020,Female,0-18 years,E38000008,NHS Bassetlaw CCG,2
27/07/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,2
27/07/2020,Female,0-18 years,E38000016,NHS Bolton CCG,2
27/07/2020,Female,0-18 years,E38000021,NHS Brighton and Hove CCG,1
27/07/2020,Female,0-18 years,E38000024,NHS Bury CCG,3
27/07/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,2
27/07/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,4
27/07/2020,Female,0-18 years,E38000031,NHS Central London (Westminster) CCG,1
27/07/2020,Female,0-18 years,E38000035,NHS City and Hackney CCG,1
27/07/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,1
27/07/2020,Female,0-18 years,E38000044,NHS Doncaster CCG,2
27/07/2020,Female,0-18 years,E38000045,NHS Dorset CCG,1
27/07/2020,Female,0-18 years,E38000046,NHS Dudley CCG,2
27/07/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,3
27/07/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,5
27/07/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,1
27/07/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,1
27/07/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,1
27/07/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,6
27/07/2020,Female,0-18 years,E38000070,NHS Hammersmith and Fulham CCG,1
27/07/2020,Female,0-18 years,E38000077,NHS Havering CCG,1
27/07/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,1
27/07/2020,Female,0-18 years,E38000085,NHS Hull CCG,1
27/07/2020,Female,0-18 years,E38000086,NHS Ipswich and East Suffolk CCG,1
27/07/2020,Female,0-18 years,E38000087,NHS Isle of Wight CCG,1
27/07/2020,Female,0-18 years,E38000089,NHS Kernow CCG,2
27/07/2020,Female,0-18 years,E38000091,NHS Knowsley CCG,2
27/07/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,2
27/07/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,2
27/07/2020,Female,0-18 years,E38000102,NHS Luton CCG,2
27/07/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,1
27/07/2020,Female,0-18 years,E38000119,NHS North East Lincolnshire CCG,2
27/07/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,1
27/07/2020,Female,0-18 years,E38000127,NHS North Tyneside CCG,1
27/07/2020,Female,0-18 years,E38000130,NHS Northumberland CCG,1
27/07/2020,Female,0-18 years,E38000135,NHS Oldham CCG,1
27/07/2020,Female,0-18 years,E38000136,NHS Oxfordshire CCG,5
27/07/2020,Female,0-18 years,E38000137,NHS Portsmouth CCG,2
27/07/2020,Female,0-18 years,E38000141,NHS Rotherham CCG,1
27/07/2020,Female,0-18 years,E38000143,NHS Salford CCG,1
27/07/2020,Female,0-18 years,E38000144,NHS Sandwell and West Birmingham CCG,2
27/07/2020,Female,0-18 years,E38000146,NHS Sheffield CCG,6
27/07/2020,Female,0-18 years,E38000150,NHS Somerset CCG,2
27/07/2020,Female,0-18 years,E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,2
27/07/2020,Female,0-18 years,E38000164,NHS South Warwickshire CCG,1
27/07/2020,Female,0-18 years,E38000170,NHS Southport and Formby CCG,1
27/07/2020,Female,0-18 years,E38000172,NHS St Helens CCG,1
27/07/2020,Female,0-18 years,E38000183,NHS Telford and Wrekin CCG,1
27/07/2020,Female,0-18 years,E38000187,NHS Trafford CCG,1
27/07/2020,Female,0-18 years,E38000188,NHS Vale of York CCG,1
27/07/2020,Female,0-18 years,E38000190,NHS Wakefield CCG,1
27/07/2020,Female,0-18 years,E38000191,NHS Walsall CCG,3
27/07/2020,Female,0-18 years,E38000194,NHS Warrington CCG,2
27/07/2020,Female,0-18 years,E38000197,NHS West Essex CCG,5
27/07/2020,Female,0-18 years,E38000198,NHS West Hampshire CCG,5
27/07/2020,Female,0-18 years,E38000201,NHS West Leicestershire CCG,3
27/07/2020,Female,0-18 years,E38000204,NHS West Suffolk CCG,1
27/07/2020,Female,0-18 years,E38000205,NHS Wigan Borough CCG,4
27/07/2020,Female,0-18 years,E38000208,NHS Wirral CCG,2
27/07/2020,Female,0-18 years,E38000210,NHS Wolverhampton CCG,1
27/07/2020,Female,0-18 years,E38000215,NHS North Cumbria CCG,1
27/07/2020,Female,0-18 years,E38000217,NHS Manchester CCG,1
27/07/2020,Female,0-18 years,E38000220,NHS Birmingham and Solihull CCG,1
27/07/2020,Female,0-18 years,E38000221,NHS Berkshire West CCG,2
27/07/2020,Female,0-18 years,E38000222,"NHS Bristol, North Somerset and South Gloucestershire CCG",6
27/07/2020,Female,0-18 years,E38000223,NHS Buckinghamshire CCG,1
27/07/2020,Female,0-18 years,E38000224,NHS East Berkshire CCG,2
27/07/2020,Female,0-18 years,E38000225,NHS Leeds CCG,6
27/07/2020,Female,0-18 years,E38000226,NHS Fylde and Wyre CCG,1
27/07/2020,Female,0-18 years,E38000227,NHS Greater Preston CCG,2
27/07/2020,Female,0-18 years,E38000229,NHS Derby and Derbyshire CCG,2
27/07/2020,Female,0-18 years,E38000230,NHS Devon CCG,10
27/07/2020,Female,0-18 years,E38000232,NHS Bradford District and Craven CCG,2
27/07/2020,Female,0-18 years,E38000233,NHS Cheshire CCG,5
27/07/2020,Female,0-18 years,E38000234,NHS County Durham CCG,2
27/07/2020,Female,0-18 years,E38000235,NHS East Sussex CCG,2
27/07/2020,Female,0-18 years,E38000236,NHS Herefordshire and Worcestershire CCG,5
27/07/2020,Female,0-18 years,E38000237,NHS Kent and Medway CCG,8
27/07/2020,Female,0-18 years,E38000238,NHS Lincolnshire CCG,2
27/07/2020,Female,0-18 years,E38000239,NHS Norfolk and Waveney CCG,5
27/07/2020,Female,0-18 years,E38000240,NHS North Central London CCG,2
27/07/2020,Female,0-18 years,E38000241,NHS North Yorkshire CCG,2
27/07/2020,Female,0-18 years,E38000243,NHS Nottingham and Nottinghamshire CCG,6
27/07/2020,Female,0-18 years,E38000244,NHS South East London CCG,8
27/07/2020,Female,0-18 years,E38000245,NHS South West London CCG,11
27/07/2020,Female,0-18 years,E38000246,NHS Surrey Heartlands CCG,5
27/07/2020,Female,0-18 years,E38000247,NHS Tees Valley CCG,1
27/07/2020,Female,0-18 years,E38000248,NHS West Sussex CCG,2
27/07/2020,Female,19-69 years,E38000004,NHS Barking and Dagenham CCG,6
27/07/2020,Female,19-69 years,E38000006,NHS Barnsley CCG,10
