journeydate,sex,ageband,ccgcode,ccgname,Total
22/06/2020,Female,0-18 years,E38000014,NHS Blackburn with Darwen CCG,1
22/06/2020,Female,0-18 years,E38000016,NHS Bolton CCG,2
22/06/2020,Female,0-18 years,E38000020,NHS Brent CCG,1
22/06/2020,Female,0-18 years,E38000021,NHS Brighton and Hove CCG,1
22/06/2020,Female,0-18 years,E38000024,NHS Bury CCG,2
22/06/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,3
22/06/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,5
22/06/2020,Female,0-18 years,E38000034,NHS Chorley and South Ribble CCG,2
22/06/2020,Female,0-18 years,E38000045,NHS Dorset CCG,6
22/06/2020,Female,0-18 years,E38000046,NHS Dudley CCG,1
22/06/2020,Female,0-18 years,E38000048,NHS Ealing CCG,1
22/06/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,2
22/06/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,1
22/06/2020,Female,0-18 years,E38000053,NHS East Staffordshire CCG,1
22/06/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,2
22/06/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,1
22/06/2020,Female,0-18 years,E38000064,NHS Greater Huddersfield CCG,3
22/06/2020,Female,0-18 years,E38000068,NHS Halton CCG,1
22/06/2020,Female,0-18 years,E38000077,NHS Havering CCG,1
22/06/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,1
22/06/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,1
22/06/2020,Female,0-18 years,E38000084,NHS Hounslow CCG,1
22/06/2020,Female,0-18 years,E38000085,NHS Hull CCG,1
22/06/2020,Female,0-18 years,E38000086,NHS Ipswich and East Suffolk CCG,1
22/06/2020,Female,0-18 years,E38000089,NHS Kernow CCG,5
22/06/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,1
22/06/2020,Female,0-18 years,E38000102,NHS Luton CCG,3
22/06/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,2
22/06/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,1
22/06/2020,Female,0-18 years,E38000113,NHS Newham CCG,1
22/06/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,2
22/06/2020,Female,0-18 years,E38000119,NHS North East Lincolnshire CCG,4
22/06/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,1
22/06/2020,Female,0-18 years,E38000122,NHS North Lincolnshire CCG,1
22/06/2020,Female,0-18 years,E38000127,NHS North Tyneside CCG,1
22/06/2020,Female,0-18 years,E38000130,NHS Northumberland CCG,2
22/06/2020,Female,0-18 years,E38000135,NHS Oldham CCG,1
22/06/2020,Female,0-18 years,E38000136,NHS Oxfordshire CCG,4
22/06/2020,Female,0-18 years,E38000137,NHS Portsmouth CCG,1
22/06/2020,Female,0-18 years,E38000138,NHS Redbridge CCG,1
22/06/2020,Female,0-18 years,E38000143,NHS Salford CCG,3
22/06/2020,Female,0-18 years,E38000144,NHS Sandwell and West Birmingham CCG,2
22/06/2020,Female,0-18 years,E38000147,NHS Shropshire CCG,3
22/06/2020,Female,0-18 years,E38000150,NHS Somerset CCG,2
22/06/2020,Female,0-18 years,E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,2
22/06/2020,Female,0-18 years,E38000163,NHS South Tyneside CCG,1
22/06/2020,Female,0-18 years,E38000167,NHS Southampton CCG,3
22/06/2020,Female,0-18 years,E38000168,NHS Southend CCG,1
22/06/2020,Female,0-18 years,E38000174,NHS Stockport CCG,2
22/06/2020,Female,0-18 years,E38000175,NHS Stoke on Trent CCG,1
22/06/2020,Female,0-18 years,E38000176,NHS Sunderland CCG,1
22/06/2020,Female,0-18 years,E38000178,NHS Surrey Heath CCG,1
22/06/2020,Female,0-18 years,E38000182,NHS Tameside and Glossop CCG,1
22/06/2020,Female,0-18 years,E38000183,NHS Telford and Wrekin CCG,1
22/06/2020,Female,0-18 years,E38000185,NHS Thurrock CCG,1
22/06/2020,Female,0-18 years,E38000187,NHS Trafford CCG,1
22/06/2020,Female,0-18 years,E38000188,NHS Vale of York CCG,2
22/06/2020,Female,0-18 years,E38000190,NHS Wakefield CCG,1
22/06/2020,Female,0-18 years,E38000191,NHS Walsall CCG,2
