journeydate,sex,ageband,ccgcode,ccgname,Total
10/08/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,3
10/08/2020,Female,0-18 years,E38000006,NHS Barnsley CCG,1
10/08/2020,Female,0-18 years,E38000007,NHS Basildon and Brentwood CCG,5
10/08/2020,Female,0-18 years,E38000008,NHS Bassetlaw CCG,1
10/08/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,2
10/08/2020,Female,0-18 years,E38000014,NHS Blackburn with Darwen CCG,2
10/08/2020,Female,0-18 years,E38000015,NHS Blackpool CCG,3
10/08/2020,Female,0-18 years,E38000016,NHS Bolton CCG,2
10/08/2020,Female,0-18 years,E38000021,NHS Brighton and Hove CCG,2
10/08/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,3
10/08/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,7
10/08/2020,Female,0-18 years,E38000030,NHS Castle Point and Rochford CCG,1
10/08/2020,Female,0-18 years,E38000031,NHS Central London (Westminster) CCG,1
10/08/2020,Female,0-18 years,E38000034,NHS Chorley and South Ribble CCG,1
10/08/2020,Female,0-18 years,E38000035,NHS City and Hackney CCG,1
10/08/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,2
10/08/2020,Female,0-18 years,E38000044,NHS Doncaster CCG,1
10/08/2020,Female,0-18 years,E38000045,NHS Dorset CCG,5
10/08/2020,Female,0-18 years,E38000046,NHS Dudley CCG,1
10/08/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,1
10/08/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,2
10/08/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,1
10/08/2020,Female,0-18 years,E38000053,NHS East Staffordshire CCG,2
10/08/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,3
10/08/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,1
10/08/2020,Female,0-18 years,E38000064,NHS Greater Huddersfield CCG,3
10/08/2020,Female,0-18 years,E38000074,NHS Harrow CCG,2
10/08/2020,Female,0-18 years,E38000077,NHS Havering CCG,3
10/08/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,3
10/08/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,1
10/08/2020,Female,0-18 years,E38000085,NHS Hull CCG,2
10/08/2020,Female,0-18 years,E38000087,NHS Isle of Wight CCG,1
10/08/2020,Female,0-18 years,E38000089,NHS Kernow CCG,2
10/08/2020,Female,0-18 years,E38000091,NHS Knowsley CCG,1
10/08/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,3
10/08/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,1
10/08/2020,Female,0-18 years,E38000117,NHS North East Essex CCG,2
10/08/2020,Female,0-18 years,E38000126,NHS North Staffordshire CCG,1
10/08/2020,Female,0-18 years,E38000135,NHS Oldham CCG,1
10/08/2020,Female,0-18 years,E38000136,NHS Oxfordshire CCG,3
10/08/2020,Female,0-18 years,E38000138,NHS Redbridge CCG,2
