journeydate,sex,ageband,ccgcode,ccgname,Total
31/08/2020,Female,0-18 years,E38000004,NHS Barking and Dagenham CCG,1
31/08/2020,Female,0-18 years,E38000007,NHS Basildon and Brentwood CCG,4
31/08/2020,Female,0-18 years,E38000010,NHS Bedfordshire CCG,1
31/08/2020,Female,0-18 years,E38000015,NHS Blackpool CCG,2
31/08/2020,Female,0-18 years,E38000016,NHS Bolton CCG,1
31/08/2020,Female,0-18 years,E38000021,NHS Brighton and Hove CCG,2
31/08/2020,Female,0-18 years,E38000024,NHS Bury CCG,1
31/08/2020,Female,0-18 years,E38000025,NHS Calderdale CCG,3
31/08/2020,Female,0-18 years,E38000026,NHS Cambridgeshire and Peterborough CCG,7
31/08/2020,Female,0-18 years,E38000028,NHS Cannock Chase CCG,1
31/08/2020,Female,0-18 years,E38000030,NHS Castle Point and Rochford CCG,2
31/08/2020,Female,0-18 years,E38000034,NHS Chorley and South Ribble CCG,3
31/08/2020,Female,0-18 years,E38000038,NHS Coventry and Rugby CCG,1
31/08/2020,Female,0-18 years,E38000044,NHS Doncaster CCG,1
31/08/2020,Female,0-18 years,E38000045,NHS Dorset CCG,10
31/08/2020,Female,0-18 years,E38000046,NHS Dudley CCG,3
31/08/2020,Female,0-18 years,E38000049,NHS East and North Hertfordshire CCG,9
31/08/2020,Female,0-18 years,E38000050,NHS East Lancashire CCG,2
31/08/2020,Female,0-18 years,E38000051,NHS East Leicestershire and Rutland CCG,11
31/08/2020,Female,0-18 years,E38000052,NHS East Riding of Yorkshire CCG,3
31/08/2020,Female,0-18 years,E38000053,NHS East Staffordshire CCG,1
31/08/2020,Female,0-18 years,E38000059,NHS Fareham and Gosport CCG,2
31/08/2020,Female,0-18 years,E38000062,NHS Gloucestershire CCG,6
31/08/2020,Female,0-18 years,E38000064,NHS Greater Huddersfield CCG,3
31/08/2020,Female,0-18 years,E38000068,NHS Halton CCG,1
31/08/2020,Female,0-18 years,E38000070,NHS Hammersmith and Fulham CCG,1
31/08/2020,Female,0-18 years,E38000074,NHS Harrow CCG,1
31/08/2020,Female,0-18 years,E38000077,NHS Havering CCG,4
31/08/2020,Female,0-18 years,E38000079,NHS Herts Valleys CCG,2
31/08/2020,Female,0-18 years,E38000082,NHS Hillingdon CCG,1
31/08/2020,Female,0-18 years,E38000084,NHS Hounslow CCG,1
31/08/2020,Female,0-18 years,E38000086,NHS Ipswich and East Suffolk CCG,5
31/08/2020,Female,0-18 years,E38000087,NHS Isle of Wight CCG,3
31/08/2020,Female,0-18 years,E38000089,NHS Kernow CCG,4
31/08/2020,Female,0-18 years,E38000091,NHS Knowsley CCG,5
31/08/2020,Female,0-18 years,E38000097,NHS Leicester City CCG,8
31/08/2020,Female,0-18 years,E38000101,NHS Liverpool CCG,1
31/08/2020,Female,0-18 years,E38000106,NHS Mid Essex CCG,4
31/08/2020,Female,0-18 years,E38000107,NHS Milton Keynes CCG,3
31/08/2020,Female,0-18 years,E38000113,NHS Newham CCG,3
31/08/2020,Female,0-18 years,E38000117,NHS North East Essex CCG,6
31/08/2020,Female,0-18 years,E38000118,NHS North East Hampshire and Farnham CCG,2
31/08/2020,Female,0-18 years,E38000119,NHS North East Lincolnshire CCG,1
31/08/2020,Female,0-18 years,E38000120,NHS North Hampshire CCG,3
31/08/2020,Female,0-18 years,E38000121,NHS North Kirklees CCG,4
31/08/2020,Female,0-18 years,E38000126,NHS North Staffordshire CCG,1
31/08/2020,Female,0-18 years,E38000127,NHS North Tyneside CCG,5
31/08/2020,Female,0-18 years,E38000130,NHS Northumberland CCG,3
31/08/2020,Female,0-18 years,E38000135,NHS Oldham CCG,1
31/08/2020,Female,0-18 years,E38000136,NHS Oxfordshire CCG,4
31/08/2020,Female,0-18 years,E38000137,NHS Portsmouth CCG,1
31/08/2020,Female,0-18 years,E38000138,NHS Redbridge CCG,3
31/08/2020,Female,0-18 years,E38000141,NHS Rotherham CCG,1
31/08/2020,Female,0-18 years,E38000143,NHS Salford CCG,3
31/08/2020,Female,0-18 years,E38000144,NHS Sandwell and West Birmingham CCG,6
